F148W,F169M,F172M,N219M,N279N,f275w,f336w,f475w,f814w,f110w,f160w,age,Z
7.21134E-21,6.91393E-21,6.86116E-21,6.17832E-21,5.39658E-21,5.50302E-21,5.02535E-21,7.8871E-21,8.775E-21,1.02308E-20,1.15451E-20,2.51E+07,0.00274
4.01539E-21,3.9398E-21,3.92042E-21,3.65134E-21,3.3213E-21,3.35378E-21,3.20866E-21,5.76157E-21,6.49255E-21,7.30695E-21,8.31381E-21,3.98E+07,0.00274
2.24097E-21,2.24483E-21,2.24658E-21,2.18728E-21,2.06579E-21,2.07753E-21,2.09742E-21,4.00085E-21,3.82733E-21,3.95689E-21,3.83776E-21,6.31E+07,0.00274
1.27382E-21,1.30404E-21,1.30847E-21,1.33017E-21,1.31615E-21,1.31288E-21,1.41175E-21,2.87335E-21,2.92589E-21,2.95341E-21,3.07063E-21,1.00E+08,0.00274
7.03846E-22,7.37353E-22,7.49541E-22,8.01466E-22,8.37472E-22,8.31392E-22,9.62979E-22,2.16064E-21,2.194E-21,2.28465E-21,2.34493E-21,1.59E+08,0.00274
3.68282E-22,3.95966E-22,4.08595E-22,4.65758E-22,5.18225E-22,5.1297E-22,6.49478E-22,1.62309E-21,1.6718E-21,1.71653E-21,1.74689E-21,2.51E+08,0.00274
1.77693E-22,1.97566E-22,2.08391E-22,2.50761E-22,2.97243E-22,2.95879E-22,4.18776E-22,1.17126E-21,1.28048E-21,1.33386E-21,1.35744E-21,3.98E+08,0.00274
7.28031E-23,8.71792E-23,9.68548E-23,1.26142E-22,1.62044E-22,1.62266E-22,2.59432E-22,8.37036E-22,1.01991E-21,1.15901E-21,1.24064E-21,6.31E+08,0.00274
2.00989E-23,2.7525E-23,3.81618E-23,6.02706E-23,8.59103E-23,8.69858E-23,1.64134E-22,5.9107E-22,7.81304E-22,8.98717E-22,9.68905E-22,1.00E+09,0.00274
2.61508E-24,4.25627E-24,1.12932E-23,2.73249E-23,4.55525E-23,4.80301E-23,1.22382E-22,5.35789E-22,1.00292E-21,1.2271E-21,1.3947E-21,1.59E+09,0.00274
3.41723E-25,5.56202E-25,2.09565E-24,1.1059E-23,2.18741E-23,2.31884E-23,6.20823E-23,2.49333E-22,4.7813E-22,5.797E-22,6.59462E-22,2.51E+09,0.00274
8.63984E-26,1.35961E-25,5.40304E-25,5.0247E-24,1.14134E-23,1.2525E-23,3.93892E-23,1.61523E-22,3.40648E-22,4.11984E-22,4.76359E-22,3.98E+09,0.00274
2.09532E-26,3.24616E-26,1.35999E-25,2.28556E-24,6.12653E-24,6.95475E-24,2.56743E-23,1.48074E-22,5.91597E-22,9.48706E-22,1.30193E-21,6.31E+09,0.00274
4.44312E-27,6.8245E-27,3.14329E-26,1.02486E-24,3.45387E-24,4.241E-24,3.07576E-23,4.83082E-22,1.94843E-21,2.77592E-21,3.47702E-21,1.00E+10,0.00274
9.52803E-28,1.48357E-27,6.65013E-27,4.59017E-25,2.16757E-24,2.98487E-24,3.28885E-23,4.98556E-22,1.93033E-21,2.70109E-21,3.30593E-21,1.59E+10,0.00274
8.09481E-20,7.49633E-20,7.60212E-20,6.69838E-20,5.23843E-20,5.45056E-20,4.43976E-20,5.71243E-20,7.00161E-20,7.28704E-20,6.94209E-20,3.98E+06,0.00483
4.07476E-20,3.75235E-20,3.80721E-20,3.3628E-20,2.71051E-20,2.82108E-20,2.47626E-20,4.03327E-20,3.78259E-20,3.50593E-20,2.97416E-20,6.31E+06,0.00483
2.3852E-20,2.21847E-20,2.23702E-20,2.01959E-20,1.68847E-20,1.74533E-20,1.52744E-20,1.93177E-20,1.39914E-20,1.17322E-20,9.72193E-21,1.00E+07,0.00483
1.27712E-20,1.22531E-20,1.22639E-20,1.09365E-20,9.48457E-21,9.70332E-21,8.46199E-21,9.56124E-21,8.42166E-21,9.46772E-21,1.03896E-20,1.59E+07,0.00483
6.57724E-21,6.29945E-21,6.29572E-21,5.69264E-21,4.89932E-21,4.98597E-21,4.33224E-21,5.71994E-21,9.21371E-21,1.27818E-20,1.60895E-20,2.51E+07,0.00483
3.74818E-21,3.69553E-21,3.71558E-21,3.51935E-21,3.22481E-21,3.25849E-21,3.11859E-21,5.35925E-21,6.40751E-21,7.83189E-21,9.27187E-21,3.98E+07,0.00483
2.10555E-21,2.13028E-21,2.14776E-21,2.13342E-21,2.05066E-21,2.05371E-21,2.08645E-21,3.83595E-21,3.75402E-21,3.83086E-21,3.96183E-21,6.31E+07,0.00483
1.17292E-21,1.21843E-21,1.23427E-21,1.28815E-21,1.30319E-21,1.2953E-21,1.41299E-21,2.88718E-21,2.78261E-21,2.91908E-21,2.95719E-21,1.00E+08,0.00483
6.30678E-22,6.72839E-22,6.88225E-22,7.57259E-22,8.06056E-22,7.986E-22,9.49215E-22,2.1577E-21,2.14807E-21,2.2561E-21,2.35224E-21,1.59E+08,0.00483
3.18448E-22,3.5024E-22,3.65467E-22,4.19638E-22,4.71504E-22,4.68385E-22,6.10615E-22,1.54055E-21,1.65018E-21,1.75046E-21,1.85116E-21,2.51E+08,0.00483
1.45486E-22,1.6448E-22,1.79432E-22,2.18763E-22,2.62522E-22,2.60858E-22,3.75369E-22,1.11982E-21,1.23754E-21,1.3543E-21,1.42674E-21,3.98E+08,0.00483
4.86874E-23,6.2497E-23,7.73663E-23,1.05064E-22,1.37582E-22,1.37546E-22,2.29785E-22,8.05681E-22,9.86545E-22,1.14572E-21,1.25485E-21,6.31E+08,0.00483
8.92997E-24,1.38871E-23,2.62666E-23,4.784E-23,6.98015E-23,7.10173E-23,1.43425E-22,5.58491E-22,7.77811E-22,9.26394E-22,1.02073E-21,1.00E+09,0.00483
9.40629E-25,1.57924E-24,5.46596E-24,1.96483E-23,3.34847E-23,3.48832E-23,8.51778E-23,3.52559E-22,6.20049E-22,7.78259E-22,8.97058E-22,1.59E+09,0.00483
1.27449E-25,2.07459E-25,8.49399E-25,7.27095E-24,1.53966E-23,1.68399E-23,5.12296E-23,2.17718E-22,4.52733E-22,5.73802E-22,6.69837E-22,2.51E+09,0.00483
3.92783E-26,5.95433E-26,2.20772E-25,3.20357E-24,7.70715E-24,8.71724E-24,3.17855E-23,1.45269E-22,3.25318E-22,4.16992E-22,4.98668E-22,3.98E+09,0.00483
6.76178E-27,1.06053E-26,4.82954E-26,1.36133E-24,3.8996E-24,4.70142E-24,1.95427E-23,9.18837E-23,2.1908E-22,2.7923E-22,3.27941E-22,6.31E+09,0.00483
1.37603E-27,2.0889E-27,9.60107E-27,5.36173E-25,1.97223E-24,2.55922E-24,1.55207E-23,2.38819E-22,1.2115E-21,1.92428E-21,2.55854E-21,1.00E+10,0.00483
2.47258E-28,3.83694E-28,1.71844E-27,1.84045E-25,1.08714E-24,1.5728E-24,1.96608E-23,3.63918E-22,1.57369E-21,2.31712E-21,2.88449E-21,1.59E+10,0.00483
7.69608E-20,7.21828E-20,7.35724E-20,6.69374E-20,5.3194E-20,5.52821E-20,4.60788E-20,5.27907E-20,3.59079E-20,2.79452E-20,2.03014E-20,3.98E+06,0.00847
3.88301E-20,3.52956E-20,3.60378E-20,3.15553E-20,2.45132E-20,2.56983E-20,2.13898E-20,3.6201E-20,5.38868E-20,5.62442E-20,5.40775E-20,6.31E+06,0.00847
2.12996E-20,1.97601E-20,2.00611E-20,1.80649E-20,1.52733E-20,1.57745E-20,1.40408E-20,1.85955E-20,1.7539E-20,1.75753E-20,1.77384E-20,1.00E+07,0.00847
1.16E-20,1.11335E-20,1.13347E-20,1.05027E-20,9.33243E-21,9.52563E-21,8.48181E-21,1.03404E-20,9.15139E-21,1.03396E-20,1.1809E-20,1.59E+07,0.00847
6.07843E-21,5.87438E-21,5.9859E-21,5.58365E-21,4.91889E-21,4.98316E-21,4.40447E-21,5.72942E-21,9.01956E-21,1.24274E-20,1.58454E-20,2.51E+07,0.00847
3.485E-21,3.48918E-21,3.56298E-21,3.50618E-21,3.30519E-21,3.31856E-21,3.23714E-21,5.26707E-21,5.99737E-21,7.76173E-21,9.47802E-21,3.98E+07,0.00847
1.93272E-21,1.99221E-21,2.03109E-21,2.08333E-21,2.05769E-21,2.0489E-21,2.13846E-21,3.94363E-21,3.56569E-21,3.6584E-21,3.6319E-21,6.31E+07,0.00847
1.04492E-21,1.10723E-21,1.13043E-21,1.21526E-21,1.25628E-21,1.24532E-21,1.40691E-21,2.87026E-21,2.69215E-21,2.77997E-21,2.85797E-21,1.00E+08,0.00847
5.44119E-22,5.9232E-22,6.11523E-22,6.89733E-22,7.45396E-22,7.36382E-22,9.02517E-22,2.04735E-21,2.09329E-21,2.27909E-21,2.43764E-21,1.59E+08,0.00847
2.57097E-22,2.93568E-22,3.11458E-22,3.7189E-22,4.21346E-22,4.15168E-22,5.51248E-22,1.47318E-21,1.55084E-21,1.71085E-21,1.82954E-21,2.51E+08,0.00847
1.01707E-22,1.25061E-22,1.41986E-22,1.84674E-22,2.23716E-22,2.21061E-22,3.31726E-22,1.0733E-21,1.18515E-21,1.42887E-21,1.60669E-21,3.98E+08,0.00847
2.44739E-23,3.53933E-23,5.21484E-23,8.30637E-23,1.11168E-22,1.11652E-22,2.00447E-22,7.64848E-22,9.62777E-22,1.19185E-21,1.36761E-21,6.31E+08,0.00847
2.68404E-24,4.50739E-24,1.28689E-23,3.40572E-23,5.33096E-23,5.48712E-23,1.22184E-22,5.04879E-22,7.59006E-22,9.65415E-22,1.12088E-21,1.00E+09,0.00847
2.96791E-25,4.77275E-25,1.89087E-24,1.24117E-23,2.42843E-23,2.64028E-23,7.80949E-23,3.5328E-22,7.03196E-22,9.34597E-22,1.10456E-21,1.59E+09,0.00847
3.83773E-26,5.96428E-26,2.37129E-25,4.29444E-24,9.86921E-24,1.14514E-23,4.03098E-23,1.85241E-22,4.11598E-22,5.58955E-22,6.82795E-22,2.51E+09,0.00847
1.23834E-26,1.80244E-26,6.0151E-26,1.66624E-24,4.70748E-24,5.67345E-24,2.36408E-23,1.21314E-22,2.99342E-22,4.07942E-22,5.00166E-22,3.98E+09,0.00847
3.58382E-27,5.00691E-27,1.37888E-26,6.53001E-25,2.30031E-24,2.88566E-24,1.42245E-23,7.8524E-23,2.03393E-22,2.72151E-22,3.25746E-22,6.31E+09,0.00847
1.56937E-27,2.08812E-27,4.06442E-27,2.16256E-25,1.04524E-24,1.37435E-24,8.25631E-24,5.16477E-23,1.46593E-22,2.04902E-22,2.53813E-22,1.00E+10,0.00847
5.49535E-29,8.56687E-29,3.63767E-28,5.41583E-26,4.97913E-25,7.24626E-25,8.54455E-24,2.28345E-22,1.26501E-21,2.05372E-21,2.7436E-21,1.59E+10,0.00847
7.57888E-20,7.03234E-20,7.27123E-20,7.00513E-20,5.58467E-20,5.75997E-20,4.70389E-20,4.18892E-20,2.21193E-20,1.50245E-20,9.91224E-21,3.98E+06,0.01471
3.73213E-20,3.40504E-20,3.50431E-20,3.17895E-20,2.55093E-20,2.66224E-20,2.10028E-20,2.43581E-20,4.75813E-20,6.52771E-20,7.6959E-20,6.31E+06,0.01471
1.93601E-20,1.80191E-20,1.83498E-20,1.72479E-20,1.49578E-20,1.5434E-20,1.37177E-20,1.971E-20,1.76358E-20,1.89177E-20,1.91833E-20,1.00E+07,0.01471
1.02072E-20,9.70087E-21,1.00912E-20,9.48313E-21,8.23875E-21,8.4023E-21,7.42641E-21,9.7548E-21,1.07236E-20,1.37278E-20,1.61041E-20,1.59E+07,0.01471
5.56789E-21,5.46123E-21,5.68868E-21,5.5556E-21,5.06593E-21,5.11106E-21,4.7725E-21,6.8731E-21,7.73295E-21,1.08021E-20,1.3463E-20,2.51E+07,0.01471
3.11222E-21,3.16177E-21,3.26549E-21,3.305E-21,3.17281E-21,3.17605E-21,3.1805E-21,5.29998E-21,6.83627E-21,1.04218E-20,1.35608E-20,3.98E+07,0.01471
1.70115E-21,1.7778E-21,1.82245E-21,1.92383E-21,1.93081E-21,1.91957E-21,2.07324E-21,3.84052E-21,3.49811E-21,3.5736E-21,3.57643E-21,6.31E+07,0.01471
8.99838E-22,9.71623E-22,1.0028E-21,1.10491E-21,1.15968E-21,1.14627E-21,1.32407E-21,2.63949E-21,2.65537E-21,2.8598E-21,2.98686E-21,1.00E+08,0.01471
4.46208E-22,4.95104E-22,5.23394E-22,6.10552E-22,6.7138E-22,6.60881E-22,8.19256E-22,1.91901E-21,1.93285E-21,2.20428E-21,2.44521E-21,1.59E+08,0.01471
1.92875E-22,2.28651E-22,2.4936E-22,3.12317E-22,3.62407E-22,3.58238E-22,4.93542E-22,1.42283E-21,1.42724E-21,1.63264E-21,1.78234E-21,2.51E+08,0.01471
5.944E-23,7.8759E-23,1.02428E-22,1.45391E-22,1.83703E-22,1.81981E-22,2.91185E-22,1.02531E-21,1.07875E-21,1.28242E-21,1.42848E-21,3.98E+08,0.01471
8.31893E-24,1.36902E-23,2.96664E-23,6.04439E-23,8.50298E-23,8.64236E-23,1.71904E-22,7.02048E-22,8.85988E-22,1.13936E-21,1.31519E-21,6.31E+08,0.01471
7.62543E-25,1.24131E-24,4.6108E-24,2.2119E-23,3.70186E-23,3.98597E-23,1.0267E-22,4.38391E-22,6.72096E-22,8.83348E-22,1.02768E-21,1.00E+09,0.01471
7.85048E-26,1.23546E-25,4.88913E-25,7.04476E-24,1.54539E-23,1.73593E-23,6.14714E-23,2.96504E-22,6.14764E-22,8.57848E-22,1.0288E-21,1.59E+09,0.01471
1.07796E-26,1.59949E-26,5.49831E-26,2.18789E-24,6.24684E-24,7.47386E-24,3.13556E-23,1.58322E-22,3.76629E-22,5.42909E-22,6.73376E-22,2.51E+09,0.01471
2.84352E-27,4.05113E-27,1.19696E-26,7.19151E-25,2.67092E-24,3.35535E-24,1.69409E-23,9.99769E-23,2.70724E-22,3.98213E-22,4.99335E-22,3.98E+09,0.01471
1.87731E-27,2.49402E-27,4.44062E-27,2.53889E-25,1.25734E-24,1.6279E-24,9.54247E-24,6.2872E-23,1.74758E-22,2.51749E-22,3.05569E-22,6.31E+09,0.01471
6.74844E-29,1.07231E-28,4.28234E-28,6.46425E-26,5.32645E-25,7.0139E-25,5.39252E-24,4.12262E-23,1.28702E-22,1.9219E-22,2.42316E-22,1.00E+10,0.01471
1.46254E-29,2.34155E-29,9.31681E-29,1.52947E-26,2.44468E-25,3.48461E-25,4.53821E-24,1.30707E-22,9.25903E-22,1.6811E-21,2.2747E-21,1.59E+10,0.01471
7.33055E-20,6.72374E-20,7.13168E-20,7.13283E-20,5.61503E-20,5.8105E-20,4.66609E-20,3.56503E-20,1.57051E-20,9.20664E-21,5.50438E-21,3.98E+06,0.02509
3.90917E-20,3.66545E-20,3.77691E-20,3.65042E-20,3.16535E-20,3.25104E-20,2.72091E-20,2.7356E-20,2.53366E-20,3.17076E-20,3.50015E-20,6.31E+06,0.02509
1.74937E-20,1.63745E-20,1.67497E-20,1.57392E-20,1.3662E-20,1.40438E-20,1.18907E-20,1.32116E-20,1.77558E-20,2.76785E-20,3.42352E-20,1.00E+07,0.02509
9.28792E-21,8.90347E-21,9.50924E-21,9.2247E-21,8.15634E-21,8.2591E-21,7.15583E-21,7.43181E-21,9.74202E-21,1.62818E-20,2.06245E-20,1.59E+07,0.02509
5.04043E-21,5.0114E-21,5.30205E-21,5.29089E-21,4.87683E-21,4.9024E-21,4.58871E-21,6.17701E-21,7.36292E-21,1.08322E-20,1.31395E-20,2.51E+07,0.02509
2.81171E-21,2.9018E-21,3.03441E-21,3.12112E-21,3.01845E-21,3.00864E-21,3.01685E-21,4.67174E-21,6.45763E-21,1.04467E-20,1.3314E-20,3.98E+07,0.02509
1.49846E-21,1.60761E-21,1.66593E-21,1.79248E-21,1.81566E-21,1.79752E-21,1.93659E-21,3.29606E-21,3.35061E-21,3.7386E-21,3.98931E-21,6.31E+07,0.02509
7.46618E-22,8.33508E-22,8.71456E-22,9.96559E-22,1.06107E-21,1.04519E-21,1.23434E-21,2.4647E-21,2.37988E-21,2.81668E-21,3.12757E-21,1.00E+08,0.02509
3.41883E-22,3.93094E-22,4.28909E-22,5.25132E-22,5.79766E-22,5.74677E-22,7.52085E-22,1.85059E-21,1.82169E-21,2.22584E-21,2.58293E-21,1.59E+08,0.02509
1.28461E-22,1.586E-22,1.89144E-22,2.51126E-22,2.97727E-22,2.97512E-22,4.39064E-22,1.37473E-21,1.35551E-21,1.60064E-21,1.78501E-21,2.51E+08,0.02509
2.64936E-23,4.1069E-23,6.70176E-23,1.0731E-22,1.39702E-22,1.42508E-22,2.55084E-22,9.70031E-22,1.03828E-21,1.25915E-21,1.41363E-21,3.98E+08,0.02509
2.45136E-24,4.0095E-24,1.27463E-23,4.04407E-23,6.0188E-23,6.39343E-23,1.4588E-22,6.26286E-22,8.10794E-22,1.03634E-21,1.18701E-21,6.31E+08,0.02509
1.77872E-25,2.84853E-25,1.13812E-24,1.2184E-23,2.39458E-23,2.6847E-23,8.48196E-23,3.79807E-22,6.07271E-22,7.84343E-22,9.14805E-22,1.00E+09,0.02509
1.32735E-26,2.03951E-26,7.56046E-26,3.33785E-24,9.30834E-24,1.11165E-23,4.68491E-23,2.42397E-22,5.03943E-22,6.94872E-22,8.31834E-22,1.59E+09,0.02509
2.32136E-27,3.38819E-27,9.78033E-27,9.16284E-25,3.6476E-24,4.64779E-24,2.36849E-23,1.34218E-22,3.2999E-22,4.90207E-22,6.03423E-22,2.51E+09,0.02509
2.17526E-27,2.83121E-27,4.65321E-27,2.22615E-25,1.38671E-24,1.82084E-24,1.15295E-23,8.16535E-23,2.41187E-22,3.89789E-22,4.98692E-22,3.98E+09,0.02509
9.44878E-29,1.51975E-28,5.93971E-28,7.81568E-26,6.76958E-25,8.97667E-25,6.5195E-24,5.12785E-23,1.56189E-22,2.44841E-22,3.02555E-22,6.31E+09,0.02509
2.62482E-29,4.19813E-29,1.6669E-28,2.08949E-26,3.00334E-25,3.91207E-25,3.57172E-24,3.37631E-23,1.14574E-22,1.83469E-22,2.36097E-22,1.00E+10,0.02509
5.11534E-30,8.1814E-30,3.28243E-29,4.96822E-27,1.1808E-25,1.51647E-25,1.94153E-24,2.31079E-23,8.84325E-23,1.53565E-22,2.01885E-22,1.59E+10,0.02509
6.02602E-20,5.13259E-20,5.5524E-20,7.44018E-20,5.56389E-20,5.78983E-20,4.41399E-20,3.20856E-20,1.43948E-20,8.53264E-21,5.15304E-21,3.98E+06,0.04162
3.10821E-20,2.67785E-20,2.99284E-20,3.95056E-20,3.12287E-20,3.22623E-20,2.72392E-20,3.3868E-20,3.01409E-20,3.06368E-20,2.85903E-20,6.31E+06,0.04162
1.52651E-20,1.39509E-20,1.52065E-20,1.73303E-20,1.36892E-20,1.4176E-20,1.14859E-20,9.98849E-21,1.16482E-20,3.13254E-20,4.34398E-20,1.00E+07,0.04162
7.93386E-21,7.76742E-21,8.47576E-21,8.66016E-21,7.86136E-21,7.90982E-21,7.0416E-21,7.33968E-21,8.56533E-21,1.62693E-20,2.14141E-20,1.59E+07,0.04162
4.29559E-21,4.3813E-21,4.71938E-21,4.93544E-21,4.68538E-21,4.6843E-21,4.42049E-21,5.41417E-21,6.36453E-21,1.28262E-20,1.75276E-20,2.51E+07,0.04162
2.36054E-21,2.51906E-21,2.67245E-21,2.87464E-21,2.84716E-21,2.82429E-21,2.88781E-21,4.18333E-21,5.17426E-21,9.73528E-21,1.2796E-20,3.98E+07,0.04162
1.20659E-21,1.33739E-21,1.41066E-21,1.59382E-21,1.64959E-21,1.62986E-21,1.83668E-21,3.14406E-21,3.00472E-21,3.59792E-21,3.94157E-21,6.31E+07,0.04162
5.70792E-22,6.61601E-22,7.06547E-22,8.55381E-22,9.22504E-22,9.1295E-22,1.1424E-21,2.39465E-21,2.243E-21,2.74383E-21,3.22852E-21,1.00E+08,0.04162
2.36353E-22,2.89516E-22,3.29919E-22,4.30709E-22,4.79616E-22,4.79904E-22,6.70584E-22,1.78846E-21,1.69482E-21,2.06275E-21,2.38641E-21,1.59E+08,0.04162
7.10455E-23,9.94064E-23,1.33661E-22,1.94966E-22,2.34699E-22,2.37881E-22,3.84716E-22,1.30163E-21,1.28383E-21,1.51228E-21,1.67513E-21,2.51E+08,0.04162
9.43908E-24,1.55843E-23,3.50743E-23,7.73364E-23,1.01523E-22,1.05172E-22,2.16322E-22,8.87811E-22,9.85098E-22,1.16047E-21,1.2734E-21,3.98E+08,0.04162
6.21756E-25,9.98375E-25,3.83819E-24,2.42469E-23,3.98706E-23,4.3488E-23,1.22505E-22,5.47638E-22,7.54375E-22,9.60222E-22,1.114E-21,6.31E+08,0.04162
2.95053E-26,4.67898E-26,1.75183E-25,5.59501E-24,1.38146E-23,1.71405E-23,6.66213E-23,3.20133E-22,5.61555E-22,7.46754E-22,8.8146E-22,1.00E+09,0.04162
2.94298E-27,4.67534E-27,1.41355E-26,1.28259E-24,5.35115E-24,6.91665E-24,3.50177E-23,1.98427E-22,4.28783E-22,5.89994E-22,7.16274E-22,1.59E+09,0.04162
1.41301E-27,1.96494E-27,4.12557E-27,3.14516E-25,2.17032E-24,2.86381E-24,1.67982E-23,1.13698E-22,3.03428E-22,4.57796E-22,5.57095E-22,2.51E+09,0.04162
9.70259E-29,1.5493E-28,6.12034E-28,7.11861E-26,8.13005E-25,1.05343E-24,8.05141E-24,7.07245E-23,2.26528E-22,3.75653E-22,4.83251E-22,3.98E+09,0.04162
3.75873E-29,6.01271E-29,2.38716E-28,2.75178E-26,4.03876E-25,5.1577E-25,4.45912E-24,4.31711E-23,1.46007E-22,2.48318E-22,3.17748E-22,6.31E+09,0.04162
1.03559E-29,1.66607E-29,6.6794E-29,8.33285E-27,1.72807E-25,2.13533E-25,2.33271E-24,2.7585E-23,1.02092E-22,1.76822E-22,2.32222E-22,1.00E+10,0.04162
1.90955E-30,3.07627E-30,1.24228E-29,2.12993E-27,7.03368E-26,8.42499E-26,1.25974E-24,1.86165E-23,7.80997E-23,1.48709E-22,2.03606E-22,1.59E+10,0.04162
