F148W,F169M,F172M,N219M,N279N,f275w,f336w,f475w,f814w,f110w,f160w,age,Z
7.21404E-23,8.49065E-23,9.533E-23,1.25206E-22,1.65319E-22,1.59679E-22,2.22328E-22,7.05779E-22,6.59621E-22,6.19388E-22,5.51316E-22,1.00E+09,0.00009
2.59253E-23,3.16842E-23,3.96881E-23,6.17821E-23,9.44865E-23,9.08311E-23,1.49032E-22,5.11182E-22,6.16748E-22,6.12118E-22,5.79659E-22,1.59E+09,0.00009
8.41309E-24,1.1618E-23,1.67282E-23,3.23701E-23,5.72862E-23,5.49061E-23,1.02983E-22,3.59183E-22,5.01034E-22,5.26397E-22,5.09118E-22,2.51E+09,0.00009
1.59693E-24,2.53021E-24,6.01166E-24,1.67715E-23,3.42092E-23,3.22041E-23,6.65552E-23,2.3109E-22,3.57913E-22,3.79445E-22,3.73965E-22,3.98E+09,0.00009
2.82389E-25,4.577E-25,1.6531E-24,8.65302E-24,2.09044E-23,1.98405E-23,4.51008E-23,1.54509E-22,2.64319E-22,2.86904E-22,2.86722E-22,6.31E+09,0.00009
1.33196E-25,2.13868E-25,7.4461E-25,4.73934E-24,1.29568E-23,1.21894E-23,3.00054E-23,1.05268E-22,1.91696E-22,2.11149E-22,2.15163E-22,1.00E+10,0.00009
1.12287E-24,1.30818E-24,1.54466E-24,3.72082E-24,8.92207E-24,8.41264E-24,2.10524E-23,7.65693E-23,1.45599E-22,1.6382E-22,1.69602E-22,1.59E+10,0.00009
7.81592E-20,7.46893E-20,7.05757E-20,5.90245E-20,4.63802E-20,4.78037E-20,3.89653E-20,4.28802E-20,2.85264E-20,2.25534E-20,1.68601E-20,3.98E+06,0.00016
4.37796E-20,4.15368E-20,3.94931E-20,3.20637E-20,2.44311E-20,2.55345E-20,1.93745E-20,1.45024E-20,6.52285E-21,3.87665E-21,2.35324E-21,6.31E+06,0.00016
2.55651E-20,2.4012E-20,2.27439E-20,1.82899E-20,1.39254E-20,1.45324E-20,1.11351E-20,8.62845E-21,3.88154E-21,2.31958E-21,1.42237E-21,1.00E+07,0.00016
1.49885E-20,1.41319E-20,1.34963E-20,1.12039E-20,8.82688E-21,9.08085E-21,7.35164E-21,6.39399E-21,3.19074E-21,2.06929E-21,1.41211E-21,1.59E+07,0.00016
8.64318E-21,8.2847E-21,7.99037E-21,6.87708E-21,5.62889E-21,5.77456E-21,4.93244E-21,5.18849E-21,2.9231E-21,2.10086E-21,1.58349E-21,2.51E+07,0.00016
5.45484E-21,5.26838E-21,5.06358E-21,4.4066E-21,3.76837E-21,3.8391E-21,3.4436E-21,4.35816E-21,3.49235E-21,3.20276E-21,3.06411E-21,3.98E+07,0.00016
3.16745E-21,3.11263E-21,3.02715E-21,2.74327E-21,2.45535E-21,2.48513E-21,2.31262E-21,3.1847E-21,1.99786E-21,1.52954E-21,1.16999E-21,6.31E+07,0.00016
1.86222E-21,1.84806E-21,1.82786E-21,1.73327E-21,1.62559E-21,1.63554E-21,1.5867E-21,2.561E-21,1.86695E-21,1.58867E-21,1.34845E-21,1.00E+08,0.00016
1.06119E-21,1.07357E-21,1.06734E-21,1.06001E-21,1.05046E-21,1.04802E-21,1.07668E-21,2.04283E-21,1.75173E-21,1.70684E-21,1.6797E-21,1.59E+08,0.00016
5.76588E-22,5.98382E-22,6.05285E-22,6.27731E-22,6.64017E-22,6.57332E-22,7.27116E-22,1.584E-21,1.40495E-21,1.35489E-21,1.30247E-21,2.51E+08,0.00016
2.99708E-22,3.20642E-22,3.29643E-22,3.6615E-22,4.13262E-22,4.0384E-22,4.82307E-22,1.2056E-21,1.12643E-21,1.10187E-21,1.04844E-21,3.98E+08,0.00016
1.47074E-22,1.62905E-22,1.7296E-22,2.06674E-22,2.54338E-22,2.45541E-22,3.21627E-22,9.29039E-22,8.6157E-22,8.24314E-22,7.5283E-22,6.31E+08,0.00016
6.36769E-23,7.41758E-23,8.67438E-23,1.17045E-22,1.58693E-22,1.51697E-22,2.197E-22,7.1237E-22,6.9272E-22,6.5882E-22,5.92904E-22,1.00E+09,0.00016
2.35414E-23,2.91272E-23,3.55684E-23,5.66023E-23,8.79137E-23,8.5165E-23,1.46028E-22,4.9307E-22,6.31169E-22,6.46606E-22,6.15689E-22,1.59E+09,0.00016
6.83293E-24,9.68616E-24,1.50089E-23,2.92226E-23,5.26531E-23,5.07633E-23,1.00368E-22,3.55618E-22,5.22008E-22,5.5241E-22,5.42156E-22,2.51E+09,0.00016
1.22094E-24,1.9679E-24,5.24905E-24,1.53095E-23,3.1291E-23,3.02316E-23,6.40185E-23,2.23771E-22,3.59581E-22,3.84218E-22,3.87744E-22,3.98E+09,0.00016
2.34008E-25,3.78733E-25,1.41009E-24,7.82267E-24,1.90024E-23,1.83291E-23,4.28644E-23,1.4914E-22,2.64937E-22,2.89044E-22,2.96898E-22,6.31E+09,0.00016
7.51479E-26,1.18652E-25,4.71499E-25,4.20584E-24,1.14538E-23,1.11713E-23,2.90119E-23,1.01956E-22,1.93158E-22,2.13539E-22,2.20276E-22,1.00E+10,0.00016
1.01063E-24,1.25578E-24,1.54512E-24,3.60739E-24,8.3615E-24,8.07784E-24,2.07714E-23,7.81167E-23,1.48745E-22,1.68183E-22,1.75705E-22,1.59E+10,0.00016
7.84448E-20,7.49361E-20,7.19387E-20,5.98386E-20,4.8063E-20,5.00966E-20,4.13999E-20,4.90963E-20,3.67657E-20,2.98378E-20,2.36276E-20,3.98E+06,0.00028
