log(Z_hot),log(Z_cool),log(age_hot)/10,log(age_cool)/10,E(B-V)_hot,E(B-V)_cool
-0.5,-1,0.72,0.93,0.1,0.06
0.2,0,0.76,1.01,0.3,0.2
