f_APID,APID,RAJ2000_1,DEJ2000_1,Rap,Reff,fcl_g,PCID,AltID,mcor,f275w_ul,f275w_vega,f275w_err,f336w_ul,f336w_vega,f336w_err,f475w_ul,f475w_vega,f475w_err,f814w_ul,f814w_vega,f814w_err,f110w_ul,f110w_vega,f110w_err,f160w_ul,f160w_vega,f160w_err,Cl,Mcat,Simbad,recno,RA_UVIT (deg),RA_std (deg),DEC_UVIT (deg),DEC_std (deg),F148W_AB,F148W_err,F172M_AB,F172M_err,N219M_AB,N219M_err,N279N_AB,N279N_err,F169M_AB,F169M_err,Separation_1,Region
,2590,10.76609194,41.30136389,1.85,0.46,0.69,616,B148-G200,0,,17.61,0.01,,16.8,0.038844764,,16.4,0.05525,,14.85,0.01,,14.31,0.03,,13.66,0.04,,2,Simbad,1664,10.76603565,1.08E-05,41.30134846,1.22E-05,20.33610522,0.074351494,20.32538948,0.070630231,20.32530937,0.094572143,19.38475254,0.091227205,20.46045937,0.062264801,0.162053058,1
,5131,10.81066194,41.26651111,1.56,0.47,0.45,605,,-0.02,,19.93,0.06,,19.91,0.04,,20.31,0.06,>,19.14,0.13882075,>,18.27,0.1503876,>,17.23,0.15390909,,0,Simbad,2693,10.81050496,6.66E-05,41.266499,1.88E-05,22.2336646,0.092094028,22.18444005,0.153022334,21.43509128,0.151158134,20.9667126,0.182696131,22.37835051,0.139069127,0.427015527,1
,1416,10.814255,41.19028111,2.04,0.48,0.84,682,B161-G215,0,,18.24,0.02,,17.3,0.01,,16.88,0.01,,15.32,0.01,,14.74,0.02,,14.04,0.03,,2,Simbad,957,10.81418649,5.78E-05,41.19025896,3.96E-05,21.38054556,0.080840383,20.98206251,0.091433936,20.88457587,0.119205829,19.70042463,0.104353144,21.53368576,0.096208273,0.202020616,1
,712,10.8223,41.52489111,1.59,0.36,0.92,0,B098D,0,,19.42,0.04,,19.22,0.02,,19.13,0.01,,18.25,0.12,,17.61,0.26,,16.9,0.31,,2,Simbad,507,10.82233985,1.01E-04,41.52489518,6.58E-05,21.88383934,0.050886402,22.41569942,0.199318318,21.3987328,0.150277635,20.83735912,0.132652495,,,0.108399955,2
,166,10.82594389,41.18187,2.29,0.62,0.97,680,B165-G218,-0.01,,17.96,0.02,,17.23,0.038844764,,17.02,0.05525,,15.64,0.02,,15.2,0.03,,14.63,0.05,,2,Simbad,128,10.82591728,4.28E-05,41.18184241,4.37E-05,21.41028948,0.081119881,21.54285649,0.115687108,20.64603215,0.107841272,19.56647555,0.098532111,21.81538626,0.108599792,0.122731536,1
,3357,10.86233,41.15786111,1.6,0.29,0.61,0,,0,,19.58,0.01,,19.75,0.04,,20.53,0.07,>,19.79,0.13882075,>,18.69,0.1503876,,17.75,0.35,,0,Simbad,2079,10.86233147,3.89E-05,41.1578659,1.37E-05,21.7801275,0.085207187,21.0559777,0.09425254,21.83067168,0.179989847,20.93918081,0.180443936,21.48194633,0.094113423,0.017676619,1
,302A,10.865035,41.45169889,1.76,0.29,0.95,0,,0,,18.53,0.01,,18.74,0.01,,19.87,0.04,>,19.07,0.13882075,>,17.97,0.1503876,>,16.74,0.15390909,,0,Simbad,233,10.86496384,6.66E-05,41.45170117,4.95E-05,20.28668191,0.032066225,20.41260208,0.086118695,20.12275207,0.087170205,19.8838635,0.086533243,,,0.192188838,2
,302B,10.865035,41.45169889,1.76,0.29,0.95,0,,0,,18.53,0.01,,18.74,0.01,,19.87,0.04,>,19.07,0.13882075,>,17.97,0.1503876,>,16.74,0.15390909,,0,Simbad,233,10.86495996,6.58E-05,41.4517965,1.30E-04,20.5249091,0.075142799,20.18322441,0.067012286,20.09051951,0.086162951,20.20185904,0.129855282,20.27798255,0.058169274,0.405568211,1
,3719,10.87131806,41.18609306,1.69,0.63,0.52,0,,-0.07,,20.05,0.02,,19.94,0.03,,20.43,0.08,>,19.03,0.13882075,>,17.81,0.1503876,>,16.93,0.15390909,,0,Simbad,2263,10.87130105,7.24E-05,41.18617197,5.35E-05,22.82264131,0.105151855,22.01831757,0.142217522,22.72784196,0.269393064,21.36088638,0.218345806,22.53843672,0.149343209,0.287812626,1
,18,10.87146694,41.576765,1.97,0.62,0.99,0,,-0.03,,20.35,0.07,,19.91,0.05,,19.93,0.08,,19.59,0.33,>,18.17,0.1503876,>,17.25,0.15390909,,0,Simbad,16,10.87151931,6.86E-05,41.57670185,7.49E-05,22.75023841,0.071162673,22.46364566,0.203618438,21.64789293,0.167854644,22.03484061,0.228935891,,,0.2675181,2
E,3155,10.87334806,41.31169694,3.44,0.64,0.62,0,,0,,15.5,0.01,,15.85,0.01,,17.26,0.04,,17.19,0.16,>,16.59,0.1503876,>,15.65,0.15390909,,0,Simbad,1979,10.87332714,7.82E-05,41.31166966,2.74E-05,18.02029268,0.070562788,17.62358883,0.03560857,17.71968243,0.04286649,17.90991558,0.051673212,17.91176661,0.031518975,0.113329322,1
,1052,10.87828611,41.35455889,3.41,0.83,0.88,0,B178-G229,0,,16.7,0.02,,15.91,0.01,,15.62,0.01,,14.12,0.01,,13.56,0.03,,12.88,0.03,,2,Simbad,723,10.87820266,9.46E-05,41.35456515,2.07E-05,20.01227081,0.073263356,19.83797133,0.059338387,19.31997859,0.064996844,18.6523174,0.067746114,19.79986114,0.049230921,0.226644538,1
,1802,10.87959306,41.30408111,3.18,0.68,0.8,0,B179-G230,0,,17.67,0.02,,16.47,0.01,,15.99,0.01,,14.43,0.01,,13.83,0.02,,13.13,0.01,,2,Simbad,1204,10.87949696,6.81E-05,41.30405602,5.95E-05,22.08550532,0.089583259,21.83244408,0.131110316,20.37623751,0.096536106,19.83776247,0.110732276,22.72845792,0.162596291,0.275140499,1
,808,10.88302611,41.16900611,1.37,0.35,0.91,0,,0,,17.75,0.01,,18.07,0.01,,19.43,0.06,,19.33,0.26,>,18.24,0.1503876,>,17.11,0.15390909,,0,Simbad,573,10.88303715,2.73E-05,41.16895301,1.28E-05,19.59910177,0.072258045,19.220688,0.048968275,19.51843412,0.069609904,19.33878663,0.089481981,19.52350586,0.045097372,0.193489725,1
,3455,10.88426611,41.16484611,1.3,0.32,0.62,0,,0,,18.45,0.01,,18.53,0.01,,19.74,0.04,,19.27,0.05,>,18.32,0.1503876,>,17.46,0.15390909,,0,Simbad,2135,10.88417599,4.27E-05,41.16481602,1.63E-05,20.46262774,0.074867369,20.2118382,0.067717831,20.67150977,0.108991169,19.5860308,0.099358152,20.43146337,0.061586399,0.267183314,1
,1231,10.88782306,41.27703194,1.63,0.39,0.86,0,,0,,19.99,0.07,,19.8,0.03,,20.09,0.03,>,19.18,0.13882075,>,18.02,0.1503876,>,17.06,0.15390909,,0,Simbad,838,10.88769759,8.21E-05,41.27704936,1.02E-05,22.99136361,0.10995974,21.69105691,0.123307372,22.1754725,0.209961835,21.83192774,0.270523527,22.10499919,0.123243131,0.345189713,1
,2672,10.89381694,41.16141111,1.57,0.15,0.71,0,,0,,17.66,0.02,,17.78,0.03,,19,0.04,,18.96,0.18,>,18.26,0.1503876,>,17.71,0.15390909,,0,Simbad,1716,10.89379431,3.41E-05,41.16139517,6.08E-06,19.89226816,0.072932535,19.3228997,0.050425108,19.76638041,0.076152124,19.09896046,0.081003942,19.90989803,0.051075926,0.083993736,1
,3146,10.89731389,41.176675,1.96,0.81,0.58,0,,-0.11,,17.78,0.02,,18,0.02,,19.41,0.03,>,19.12,0.13882075,>,17.94,0.1503876,>,17.01,0.15390909,,0,Simbad,1976,10.89712027,2.84E-05,41.17662717,3.24E-05,19.52973786,0.072122628,19.19028562,0.048552932,19.45949939,0.068184674,19.05503255,0.079559912,19.43172137,0.043871749,0.552162042,1
,2583A,10.89956611,41.403715,1.42,0.19,0.68,0,,0,,18.51,0.01,,18.7,0.01,,19.83,0.04,>,20.41,0.13882075,>,18.12,0.1503876,>,16.99,0.15390909,,0,Simbad,1659,10.89952376,5.25E-05,41.40366264,5.65E-05,20.20336178,0.031525481,20.30022338,0.082583771,20.13881155,0.087740407,19.85941675,0.085603685,,,0.220470762,2
