f_APID,APID,RAJ2000_1,DEJ2000_1,Rap,Reff,fcl_g,PCID,AltID,mcor,f275w_ul,f275w_vega,f275w_err,f336w_ul,f336w_vega,f336w_err,f475w_ul,f475w_vega,f475w_err,f814w_ul,f814w_vega,f814w_err,f110w_ul,f110w_vega,f110w_err,f160w_ul,f160w_vega,f160w_err,Cl,Mcat,Simbad,recno,RA_UVIT (deg),RA_std (deg),DEC_UVIT (deg),DEC_std (deg),F148W_AB,F148W_err,F172M_AB,F172M_err,N219M_AB,N219M_err,N279N_AB,N279N_err,F169M_AB,F169M_err,Separation_1,Region
,2932,10.94603389,41.48886194,1.14,0.44,0.68,0,,-0.08,,18.74,0.01,,19.01,0.01,,19.84,0.07,,18.6,0.14,,18.02,0.12,,17.3,0.17,,0,Simbad,1861,10.94604123,6.94E-05,41.48883626,1.41E-05,20.67424224,0.035041858,21.1955621,0.117582253,20.48041777,0.101044655,20.28354891,0.103374392,,,0.094563346,2
,2485A,10.94684694,41.19893,1.77,0.29,0.73,0,,0,,17.14,0.04,,17.2,0.03,,18.54,0.1,,18.3,0.2,>,18.26,0.1503876,>,17.46,0.15390909,,0,Simbad,1600,10.94681035,6.65E-05,41.19893158,7.06E-05,19.66722569,0.062011525,19.00228474,0.066551787,19.06680284,0.064014668,18.62469865,0.086055231,,,0.099294078,7
,2485B,10.94684694,41.19893,1.77,0.29,0.73,0,,0,,17.14,0.04,,17.2,0.03,,18.54,0.1,,18.3,0.2,>,18.26,0.1503876,>,17.46,0.15390909,,0,Simbad,1600,10.94686082,2.33E-05,41.19887726,4.71E-05,19.71252431,0.072498366,19.11209925,0.047521399,21.24507724,0.139145831,18.70700677,0.069207935,19.39854415,0.043445699,0.193537068,1
,2723A,10.94896889,41.16546,1.56,0.26,0.71,0,KHM31-496,0,,19.73,0.03,,19.76,0.02,,20.45,0.03,>,20.85,0.13882075,>,19.04,0.1503876,>,18.13,0.15390909,,0,Simbad,1742,10.94891446,5.23E-05,41.16544326,3.60E-05,21.55166201,0.112583254,22.06477646,0.213812085,21.48836384,0.152003136,21.69965589,0.320518158,,,0.159350162,7
,2723B,10.94896889,41.16546,1.56,0.26,0.71,0,KHM31-496,0,,19.73,0.03,,19.76,0.02,,20.45,0.03,>,20.85,0.13882075,>,19.04,0.1503876,>,18.13,0.15390909,,0,Simbad,1742,10.94892448,5.33E-05,41.16537732,6.71E-05,22.20122009,0.091520659,21.50063054,0.113615614,21.72276341,0.171575505,21.4889059,0.231412402,21.60054522,0.098995938,0.321056001,1
,5460,10.94995611,41.41140306,1.2,0.29,0.42,0,,0,,19.91,0.06,,19.96,0.05,,20.74,0.06,,19.78,0.33,,18.19,0.19,,17.15,0.17,,0,Simbad,2714,10.94984206,2.75E-05,41.4113972,8.07E-05,21.71156873,0.047875579,22.33023009,0.191892295,21.53769365,0.159822476,21.16353268,0.153809579,,,0.308646535,2
,3482,10.95105194,41.43000611,1.72,0.6,0.62,0,,-0.05,,19.56,0.05,,19.72,0.07,,20.4,0.09,,19.26,0.08,>,18.38,0.1503876,,17.5,0.37,,0,Simbad,2149,10.95103741,6.44E-05,41.42993117,2.77E-05,21.46634828,0.044073308,22.34223086,0.192916806,21.14715759,0.134535889,21.37569223,0.169404115,,,0.272637479,2
,445,10.95177111,41.44809889,2.85,0.59,0.94,0,B472-D064,0,,16.99,0.02,,16.17,0.01,,15.75,0.01,,14.21,0.01,,13.64,0.01,,12.96,0.01,,2,Simbad,330,10.95169572,4.87E-05,41.44808032,1.40E-05,19.84983848,0.029564228,20.00684187,0.074331778,19.31966173,0.064031278,18.67685804,0.051630332,,,0.21413564,2
,1292A,10.954195,41.21995694,1.44,0.22,0.86,0,,0,,19.24,0.03,,19.02,0.02,,19.41,0.01,,18.81,0.19,,18.44,0.1,,18.05,0.28,,0,Simbad,874,10.95410761,9.62E-05,41.2199704,1.10E-04,21.29987857,0.102256384,20.90503953,0.130001725,22.69527241,0.257939689,20.66721443,0.201440925,,,0.241553859,7
,1292B,10.954195,41.21995694,1.44,0.22,0.86,0,,0,,19.24,0.03,,19.02,0.02,,19.41,0.01,,18.81,0.19,,18.44,0.1,,18.05,0.28,,0,Simbad,874,10.9541431,4.47E-05,41.21991009,4.31E-05,21.544844,0.082470869,21.31238244,0.10488985,21.52154786,0.157000279,20.55165989,0.151660199,21.59896101,0.098928816,0.219537657,1
,367,10.95447,41.16075,1.75,0.55,0.95,0,KHM31-498,-0.03,,20.21,0.08,,20.17,0.07,,20.52,0.09,,20.02,0.22,,18.06,0.1,,17.08,0.09,,0,Simbad,275,10.95437998,2.54E-05,41.16063647,7.67E-05,22.81215579,0.104870345,22.20376676,0.154336192,22.98236967,0.302402376,21.54826062,0.23774065,22.40026077,0.140429474,0.475984714,1
,163A,10.95464,41.23769389,1.71,0.44,0.97,0,B104D-M2,-0.01,,18.97,0.02,,18.73,0.02,,18.78,0.02,,17.52,0.07,,16.87,0.08,,16.21,0.1,,1,Simbad,125,10.95457382,1.28E-04,41.23767533,1.20E-04,21.37786121,0.105306142,21.1055727,0.141282678,22.34490034,0.220638078,20.74762562,0.208775173,,,0.191211816,7
,163B,10.95464,41.23769389,1.71,0.44,0.97,0,B104D-M2,-0.01,,18.97,0.02,,18.73,0.02,,18.78,0.02,,17.52,0.07,,16.87,0.08,,16.21,0.1,,1,Simbad,125,10.95461049,3.48E-05,41.23762378,2.69E-05,21.42413225,0.081252256,20.4671061,0.074527643,21.21419071,0.137295968,20.61209921,0.155809552,20.77266438,0.070278868,0.264718725,1
,1286,10.96006111,41.61667111,1.36,0.26,0.86,1357,,0,,18.85,0.04,,19.02,0.03,,19.94,0.07,,19.54,0.1,,19.18,0.36,>,18.47,0.15390909,,0,Simbad,869,10.96001854,2.50E-05,41.61661369,2.47E-05,20.7437406,0.035663754,20.92011018,0.105025951,20.42861099,0.098876091,20.16792788,0.098169255,,,0.236335092,2
,4497,10.96121306,41.44855,1.28,0.33,0.51,0,,-0.01,,19.68,0.03,,19.74,0.03,,20.36,0.1,>,19.63,0.13882075,,18.26,0.06,>,17.28,0.15390909,,0,Simbad,2565,10.96111431,2.08E-04,41.44856077,1.48E-05,21.82554592,0.049834547,22.25086594,0.185262825,21.40495423,0.150691542,21.01426495,0.143726535,,,0.269251833,2
,3273,10.96315389,41.625825,1.27,0.4,0.63,1363,,-0.03,,20.97,0.09,,20.95,0.07,,21.49,0.07,>,20.06,0.13882075,>,19.34,0.1503876,>,18.41,0.15390909,,0,Simbad,2039,10.96303172,7.60E-05,41.62587138,6.62E-05,22.78242943,0.072108155,22.94691008,0.252878592,22.70769749,0.270707405,22.01503847,0.226869663,,,0.368722772,2
,3488,10.96442889,41.37863306,1.03,0.23,0.62,0,,0,,20.12,0.04,,20.11,0.01,,20.69,0.06,>,20.15,0.13882075,>,19.27,0.1503876,>,19.28,0.15390909,,0,Simbad,2152,10.96433881,7.02E-05,41.37859188,3.91E-05,22.11415432,0.090047647,21.7061497,0.124114913,21.89034248,0.184832064,21.5963211,0.242994641,22.69006474,0.159821602,0.28490879,1
,315,10.9666,41.63174694,1.51,0.44,0.95,1360,,-0.02,,20.01,0.06,,19.89,0.09,,19.98,0.04,,19.46,0.28,>,17.92,0.1503876,>,17.03,0.15390909,,0,Simbad,242,10.96658644,6.41E-05,41.63168229,2.63E-05,22.36476031,0.060982543,22.81235116,0.238015348,21.55628456,0.161148138,20.96366311,0.140464833,,,0.235588977,2
,742A,10.966655,41.26404806,1.63,0.5,0.91,0,B105D,-0.02,,18.9,0.04,,18.39,0.01,,18.79,0.02,,17.98,0.04,,17.05,0.02,,16.29,0.06,Cl,1,Simbad,528,10.9664955,1.64E-04,41.26399072,1.12E-04,22.3954187,0.15897306,21.28495163,0.152383644,22.39260821,0.225359012,20.00020492,0.150380243,,,0.478440635,7
,742B,10.966655,41.26404806,1.63,0.5,0.91,0,B105D,-0.02,,18.9,0.04,,18.39,0.01,,18.79,0.02,,17.98,0.04,,17.05,0.02,,16.29,0.06,Cl,1,Simbad,528,10.96666067,6.38E-05,41.26393378,3.66E-05,21.73833243,0.08468373,21.39461731,0.10860151,21.56905708,0.160315765,20.64535629,0.15814399,21.48739431,0.094331481,0.411660292,1
,4846,10.96997694,41.43491,1.17,0.34,0.48,0,,-0.02,,19.16,0.02,,19.35,0.02,,20.47,0.03,,20.12,0.29,,18.61,0.2,,17.57,0.15,,0,Simbad,2660,10.96986654,3.17E-05,41.43488125,3.06E-05,20.68761452,0.035159283,21.26753519,0.121163157,21.04588698,0.128719288,20.75568178,0.12784101,,,0.315442174,2
,1698A,10.97076306,41.17269194,1.65,0.34,0.81,0,,0,,17.58,0.01,,17.94,0.01,,19.33,0.04,,19.38,0.09,>,19.41,0.1503876,>,18.36,0.15390909,,0,Simbad,1135,10.97063325,3.57E-05,41.17267816,4.69E-05,19.29380807,0.057406355,18.85745621,0.064051353,18.93345489,0.061913695,20.28397068,0.170113359,,,0.355245187,7
,1698B,10.97076306,41.17269194,1.65,0.34,0.81,0,,0,,17.58,0.01,,17.94,0.01,,19.33,0.04,,19.38,0.09,>,19.41,0.1503876,>,18.36,0.15390909,,0,Simbad,1135,10.97062742,6.23E-05,41.17265585,6.12E-05,19.22023772,0.071611212,18.72442666,0.043124831,20.52260481,0.102475852,20.05339919,0.121649733,20.48701238,0.062895475,0.389851908,1
,701A,10.972445,41.28233111,2.09,0.7,0.92,0,,-0.04,,19.12,0.01,,18.79,0.03,,18.91,0.03,,18.49,0.23,>,18.12,0.1503876,>,17.26,0.15390909,,0,Simbad,501,10.97235964,1.65E-04,41.28232606,1.06E-04,21.50825958,0.110702022,20.83451134,0.126299668,20.63769287,0.107410216,19.6546469,0.129778541,,,0.231649772,7
,701B,10.972445,41.28233111,2.09,0.7,0.92,0,,-0.04,,19.12,0.01,,18.79,0.03,,18.91,0.03,,18.49,0.23,>,18.12,0.1503876,>,17.26,0.15390909,,0,Simbad,501,10.97244518,4.82E-05,41.28227086,7.74E-05,21.2880401,0.080012834,20.92169636,0.089209771,21.58891533,0.161724202,20.20992203,0.130317925,21.72635113,0.104496747,0.216901279,1
,2745,10.97253306,41.62676611,1.66,0.7,0.7,1369,,-0.11,,19.96,0.05,,19.81,0.04,,20.23,0.07,>,19.32,0.13882075,>,18.42,0.1503876,>,17.56,0.15390909,,0,Simbad,1756,10.97251738,1.64E-05,41.62672298,3.19E-05,21.81242774,0.049602568,21.9226785,0.160379115,21.87575059,0.185857268,20.96475123,0.140534163,,,0.160895211,2
,2594A,10.97606194,41.21585306,1.52,0.34,0.72,0,,0,,18.86,0.06,,19.01,0.06,,20.22,0.13,>,20.01,0.13882075,>,20.29,0.1503876,>,19.32,0.15390909,,0,Simbad,1667,10.97595419,6.89E-05,41.21584358,6.15E-05,20.94143418,0.08981198,20.45813453,0.108673805,21.23685297,0.136753035,20.64744289,0.199680218,,,0.293795024,7
,2594B,10.97606194,41.21585306,1.52,0.34,0.72,0,,0,,18.86,0.06,,19.01,0.06,,20.22,0.13,>,20.01,0.13882075,>,20.29,0.1503876,>,19.32,0.15390909,,0,Simbad,1667,10.97602724,2.17E-05,41.21578293,6.51E-05,21.10171568,0.078524053,20.66762971,0.080574111,22.50887862,0.243975881,20.48922893,0.147497327,20.63657918,0.066621304,0.269381945,1
,1006A,10.976275,41.236595,1.42,0.39,0.89,0,M003,-0.01,,18.59,0.01,,18.52,0.02,,18.99,0.03,,17.89,0.04,,17.03,0.11,,16.23,0.05,,2,Simbad,691,10.97615138,2.49E-05,41.23661192,1.01E-04,20.8372316,0.086643,20.56468212,0.113316729,20.84508152,0.116552555,19.73956478,0.134519249,,,0.340161579,7
,1006B,10.976275,41.236595,1.42,0.39,0.89,0,M003,-0.01,,18.59,0.01,,18.52,0.02,,18.99,0.03,,17.89,0.04,,17.03,0.11,,16.23,0.05,,2,Simbad,691,10.97618719,2.71E-05,41.23655183,3.00E-05,20.88677206,0.077068765,20.59374589,0.078270955,20.87131902,0.118538072,20.07944926,0.123047437,20.82706084,0.071815733,0.284025206,1
,186,10.97683,41.25392389,1.97,0.73,0.97,0,B106D,-0.07,,18.79,0.02,,18.45,0.03,,18.64,0.05,,17.62,0.11,,17.04,0.06,,16.35,0.09,,2,Simbad,142,10.97685146,5.02E-05,41.25384745,3.98E-05,21.44267242,0.081431871,21.27138529,0.103095576,21.29974604,0.142489084,20.48841209,0.147443675,21.98085894,0.116714249,0.281233621,1
,3050,10.97688306,41.617245,1.12,0.25,0.6,1336,,0,,19.75,0.03,,19.77,0.06,,20.3,0.06,,19.6,0.26,>,19.5,0.1503876,>,18.86,0.15390909,,0,Simbad,1925,10.97681798,2.79E-05,41.61718758,7.70E-05,21.62858381,0.046527624,21.58640425,0.138674388,21.52636377,0.159020319,20.95505857,0.139917835,,,0.270935696,2
,1727,10.97996111,41.42025111,1.21,0.26,0.81,0,,0,,19.57,0.03,,19.7,0.01,,20.64,0.05,>,20.46,0.13882075,>,19.21,0.1503876,>,18.27,0.15390909,,0,Simbad,1154,10.97991633,7.93E-05,41.42021799,5.45E-05,21.34476098,0.042382598,22.02480323,0.167705011,21.57118838,0.162219399,21.01803982,0.143972962,,,0.169812047,2
,207,10.98012389,41.25243389,1.63,0.47,0.96,0,,-0.02,,19.35,0.05,,19.13,0.02,,19.35,0.05,,18.31,0.16,>,17.01,0.1503876,>,17.19,0.15390909,,0,Simbad,160,10.97999952,8.87E-05,41.25238699,4.12E-05,21.66446189,0.117679841,21.39145205,0.159458477,21.42015402,0.14767602,20.77884316,0.211699007,,,0.376579887,7
,3360A,10.98193389,41.21928611,1.75,0.68,0.63,0,,-0.09,,17.87,0.01,,18.07,0.01,,19.38,0.11,,19.71,0.32,>,18.76,0.1503876,>,17.72,0.15390909,,0,Simbad,2081,10.98178645,7.14E-05,41.21927786,6.18E-05,20.05395354,0.068220119,19.91961962,0.088889053,19.62470862,0.075070304,20.46469462,0.184170069,,,0.400345341,7
,3360B,10.98193389,41.21928611,1.75,0.68,0.63,0,,-0.09,,17.87,0.01,,18.07,0.01,,19.38,0.11,,19.71,0.32,>,18.76,0.1503876,>,17.72,0.15390909,,0,Simbad,2081,10.98186153,4.71E-05,41.21921612,5.51E-05,20.23622791,0.073982471,19.73060644,0.057246681,21.69405216,0.169408803,19.40323377,0.091940289,19.93007952,0.051427381,0.319201483,1
,2075,10.98210611,41.31143806,1.48,0.57,0.76,0,,-0.08,,19.99,0.04,,20.01,0.04,,20.3,0.08,,18.67,0.15,,18.04,0.2,>,17.28,0.15390909,,0,Simbad,1375,10.98206078,1.98E-05,41.31132057,4.95E-05,22.24036693,0.09221417,22.63652476,0.187159196,22.00508827,0.194538659,22.03087922,0.296237626,22.39221627,0.139928363,0.44036964,1
,1936,10.982905,41.44267694,1.98,0.54,0.79,0,,-0.01,,17.96,0.02,,17.81,0.01,,18.85,0.05,,18.39,0.2,>,17.95,0.1503876,>,17.4,0.15390909,,0,Simbad,1295,10.98294674,3.81E-05,41.44259701,2.53E-05,20.15838836,0.031246808,20.32716628,0.083411516,20.05642188,0.084864553,19.51125454,0.073486687,,,0.309037683,2
,1148A,10.98348889,41.22841194,1.52,0.21,0.87,0,,0,,17.59,0.02,,17.79,0.02,,19.02,0.04,,19.03,0.3,>,17.99,0.1503876,>,17.08,0.15390909,,0,Simbad,782,10.98346571,3.32E-05,41.22839287,7.07E-05,19.59989271,0.061088447,19.35833057,0.073783657,19.23495938,0.066942883,18.96260878,0.097893848,,,0.093013966,7
,1148B,10.98348889,41.22841194,1.52,0.21,0.87,0,,0,,17.59,0.02,,17.79,0.02,,19.02,0.04,,19.03,0.3,>,17.99,0.1503876,>,17.08,0.15390909,,0,Simbad,782,10.98351864,1.41E-05,41.22834194,5.32E-05,19.735597,0.072550297,19.39259026,0.051473603,21.0138817,0.125954554,18.97866374,0.077125628,19.52911924,0.045174614,0.264584184,1
,1502,10.98413306,41.25306,1.56,0.46,0.84,0,,-0.02,>,20.53,0.044584837,>,20.73,0.038844764,,20.8,0.2,>,20.9,0.13882075,>,19.25,0.1503876,>,17.57,0.15390909,,0,Simbad,1018,10.98400511,1.34E-04,41.25293605,7.76E-05,22.81609137,0.104975776,21.85072115,0.132158731,22.90644143,0.292141706,22.23796603,0.325649546,22.48469373,0.145806478,0.564835151,1
,3941,10.98666806,41.62041111,1.37,0.34,0.57,1345,,0,,18.73,0.02,,19.01,0.02,,20.19,0.06,,19.85,0.28,>,18.18,0.1503876,>,17.23,0.15390909,,0,Simbad,2374,10.98653912,2.99E-05,41.62028683,3.56E-05,20.29326049,0.032110308,20.7356075,0.097559414,19.74567021,0.075065608,20.01563111,0.091735162,,,0.566209489,2
,3729,10.98719389,41.26419306,1.13,0.25,0.55,0,,0,,18.74,0.01,,18.97,0.03,,20.28,0.08,,20.19,0.36,>,19.19,0.1503876,>,18.27,0.15390909,,0,Simbad,2268,10.98706128,7.84E-05,41.26415786,7.73E-05,20.6305214,0.080898929,20.37936026,0.105406065,22.03877381,0.192782335,21.68904576,0.318977843,,,0.380542665,7
E,2481A,10.98991611,41.29317389,2.37,0.2,0.73,0,,0,,15.93,0.05,,16.3,0.05,,17.89,0.05,,18.22,0.07,>,17.9,0.1503876,>,16.97,0.15390909,,0,Simbad,1597,10.98981601,1.33E-04,41.29319852,8.98E-05,18.09224125,0.048976882,17.90615252,0.052601658,19.31799531,0.068511093,17.60057195,0.061345007,,,0.284913864,7
E,2481B,10.98991611,41.29317389,2.37,0.2,0.73,0,,0,,15.93,0.05,,16.3,0.05,,17.89,0.05,,18.22,0.07,>,17.9,0.1503876,>,16.97,0.15390909,,0,Simbad,1597,10.98988235,1.95E-05,41.29316915,4.20E-05,18.06450252,0.070584518,17.85348084,0.036707332,17.77626392,0.043306687,17.7622798,0.049208256,18.20737333,0.032997619,0.092892092,1
,3055,10.99002306,41.44485889,1.46,0.33,0.59,0,,0,,19.25,0.02,,19.39,0.04,,20.62,0.22,>,19.84,0.13882075,>,17.33,0.1503876,>,16.42,0.15390909,,0,Simbad,1928,10.98992976,8.32E-05,41.4448866,3.36E-05,20.89214329,0.037091397,21.29747325,0.122691311,20.91870274,0.121808296,20.52155612,0.115028674,,,0.270809675,2
,547A,10.99059806,41.18833694,1.44,0.53,0.91,0,,-0.07,,19.75,0.01,,19.8,0.02,,20.39,0.05,>,19.48,0.13882075,,19.23,0.29,>,18.01,0.15390909,,0,Simbad,400,10.99081181,2.99E-05,41.18831876,5.19E-05,22.03070324,0.136454386,22.5172022,0.261553738,21.32415225,0.141830036,21.42559556,0.283082666,,,0.582788613,7
,547B,10.99059806,41.18833694,1.44,0.53,0.91,0,,-0.07,,19.75,0.01,,19.8,0.02,,20.39,0.05,>,19.48,0.13882075,,19.23,0.29,>,18.01,0.15390909,,0,Simbad,400,10.99069851,1.81E-04,41.18829125,8.84E-05,21.88852992,0.086645988,20.75012584,0.083253834,21.24078354,0.138887001,20.80999265,0.170257279,22.09186639,0.122533808,0.318011382,1
,91A,10.990885,41.231335,2.21,0.63,0.98,0,M004,-0.02,,16.41,0.03,,16.54,0.01,,17.66,0.01,,17.32,0.03,,17.25,0.23,,16.73,0.03,Cl,1,Simbad,68,10.99064363,3.61E-05,41.23128625,6.14E-05,20.36031036,0.074388204,19.75159593,0.083836209,19.84520706,0.080605671,19.45104007,0.119200947,,,0.676630096,7
,91B,10.990885,41.231335,2.21,0.63,0.98,0,M004,-0.02,,16.41,0.03,,16.54,0.01,,17.66,0.01,,17.32,0.03,,17.25,0.23,,16.73,0.03,Cl,1,Simbad,68,10.99067716,3.83E-05,41.23123504,5.92E-05,20.43040961,0.074730594,19.88189951,0.06023274,20.30346878,0.093745645,19.34622699,0.089761756,20.1309865,0.05515801,0.667928917,1
,626,10.99239694,41.41064611,3.22,0.79,0.92,0,B205-G256,0,,17.61,0.02,,16.52,0.02,,16.04,0.01,,14.44,0.02,,13.87,0.03,,13.15,0.04,,2,Simbad,448,10.99222572,1.18E-04,41.41062212,3.14E-05,21.93884821,0.051911018,22.0799078,0.171810598,20.62433296,0.107372243,19.6578116,0.078340293,,,0.470297277,2
E,2511A,10.99326694,41.228345,2.36,0.88,0.69,0,,-0.07,,16.9,0.02,,17.11,0.03,,18.41,0.05,,18.33,0.11,>,17.66,0.1503876,>,17.24,0.15390909,,0,Simbad,1615,10.99294221,3.82E-05,41.22835445,6.04E-05,20.96108167,0.09043104,21.2863022,0.152471046,20.72945984,0.11133256,20.23764366,0.166703147,,,0.879872318,7
E,2511B,10.99326694,41.228345,2.36,0.88,0.69,0,,-0.07,,16.9,0.02,,17.11,0.03,,18.41,0.05,,18.33,0.11,>,17.66,0.1503876,>,17.24,0.15390909,,0,Simbad,1615,10.99298538,2.78E-05,41.22830669,6.88E-05,21.4590697,0.081592964,21.10296982,0.096100436,21.57812212,0.160957032,21.49981588,0.23256249,21.42966237,0.092050472,0.774709138,1
,1137,10.99425111,41.50505111,3.15,0.79,0.87,0,B206-G257,0,,17,0.04,,16.08,0.01,,15.64,0.01,,14.08,0.01,,13.5,0.01,,12.81,0.01,,2,Simbad,777,10.99417983,6.82E-05,41.50502219,2.08E-05,20.60461945,0.034447281,20.58732241,0.09206156,19.68862198,0.073435497,18.77177916,0.053681565,,,0.218574697,2
,1446,11.00169611,41.45473,1.35,0.32,0.84,0,,0,,19.14,0.02,,19.16,0.02,,19.57,0.02,,19.54,0.18,>,19.16,0.1503876,>,17.59,0.15390909,,0,Simbad,982,11.00162094,2.93E-05,41.4547165,1.23E-05,21.02973537,0.038543719,21.35654488,0.125774696,20.77147609,0.114326758,20.53315569,0.115630788,,,0.208574852,2
,563A,11.00177806,41.27368611,1.46,0.35,0.93,0,,0,,18.5,0.03,,18.57,0.03,,19.26,0.06,,18.62,0.16,,18.24,0.22,>,17.43,0.15390909,,0,Simbad,409,11.00169927,7.42E-05,41.27368057,8.14E-05,20.71852398,0.083259061,20.0532726,0.093266626,20.64381842,0.107666126,19.75995654,0.135687815,,,0.214093267,7
,563B,11.00177806,41.27368611,1.46,0.35,0.93,0,,0,,18.5,0.03,,18.57,0.03,,19.26,0.06,,18.62,0.16,,18.24,0.22,>,17.43,0.15390909,,0,Simbad,409,11.00176622,4.90E-05,41.273642,6.02E-05,20.51989714,0.075120083,20.49296652,0.075271586,21.98815356,0.193072639,19.81353235,0.1095755,20.30135285,0.058671152,0.161994427,1
,1775,11.00591111,41.45343111,1.38,0.34,0.75,0,,0,,19.85,0.04,,19.97,0.02,,20.8,0.12,>,19.99,0.13882075,>,18.62,0.1503876,>,17.52,0.15390909,,0,Simbad,1184,11.00576779,1.59E-04,41.4534277,2.17E-05,21.49075496,0.044427727,22.41831932,0.199550761,21.21312569,0.138481047,21.481838,0.177803667,,,0.386907207,2
,287A,11.00801,41.25001306,2.16,0.86,0.95,0,SK155B,-0.09,,19.24,0.32,,18.97,0.15,,19.25,0.11,,18.12,0.1,,17.72,0.21,,17.02,0.28,Cl,1,Simbad,220,11.00795641,7.24E-05,41.25003004,7.30E-05,22.44929827,0.162661347,21.35245518,0.156824552,21.52208163,0.154196919,20.86687301,0.2201813,,,0.157419684,7
,287B,11.00801,41.25001306,2.16,0.86,0.95,0,SK155B,-0.09,,19.24,0.32,,18.97,0.15,,19.25,0.11,,18.12,0.1,,17.72,0.21,,17.02,0.28,Cl,1,Simbad,220,11.00797675,3.24E-05,41.25000686,5.46E-05,22.085887,0.089589382,21.45116315,0.11124318,21.91929834,0.187231812,22.78470823,0.418330517,21.51756037,0.095549611,0.092730866,1
,452,11.00822806,41.65095306,2.18,0.43,0.94,1286,KHM31-191,0,,18.87,0.05,,18.73,0.04,,18.97,0.05,,18.68,0.14,>,18.66,0.1503876,>,17.65,0.15390909,,0,Simbad,337,11.0081748,3.19E-05,41.65091182,3.00E-05,21.49651184,0.044512074,22.23823311,0.184230598,21.15192047,0.134816537,20.24827775,0.101756172,,,0.206304604,2
,1321A,11.01078389,41.231725,1.61,0.24,0.85,0,,0,,18.82,0.04,,18.56,0.04,,18.81,0.03,,18.08,0.01,,18.02,0.17,>,17.71,0.15390909,,0,Simbad,894,11.01074334,1.85E-05,41.2317007,4.89E-05,21.48191399,0.109581173,21.1591831,0.144496769,21.47972641,0.151447041,19.76947714,0.136237466,,,0.140362499,7
,1321B,11.01078389,41.231725,1.61,0.24,0.85,0,,0,,18.82,0.04,,18.56,0.04,,18.81,0.03,,18.08,0.01,,18.02,0.17,>,17.71,0.15390909,,0,Simbad,894,11.01074392,1.00E-04,41.23168473,7.95E-05,21.60485934,0.083121636,21.26095223,0.102644811,22.68183546,0.26383427,19.92028078,0.11477577,21.25498878,0.085536175,0.18090813,1
,93A,11.01145194,41.24017611,2.18,0.64,0.98,0,B210-M11,-0.02,,18.39,0.02,,18.14,0.01,,18.12,0.01,,17.04,0.05,,16.49,0.09,,15.94,0.18,,2,Simbad,69,11.01140271,3.85E-05,41.24016118,4.31E-05,20.68867286,0.082444626,20.39497365,0.106042871,21.23806646,0.136822088,20.49688642,0.186804686,,,0.14372051,7
,93B,11.01145194,41.24017611,2.18,0.64,0.98,0,B210-M11,-0.02,,18.39,0.02,,18.14,0.01,,18.12,0.01,,17.04,0.05,,16.49,0.09,,15.94,0.18,,2,Simbad,69,11.01141195,9.20E-05,41.24014028,7.74E-05,20.82665075,0.076706447,20.5623279,0.077318561,21.23644038,0.138625741,20.10067423,0.124199307,20.89177827,0.073701942,0.168388948,1
,2614,11.01461889,41.641255,1.45,0.33,0.7,1273,,0,,17.91,0.03,,18.19,0.01,,19.38,0.05,,19.13,0.2,,18.5,0.28,,17.77,0.33,,0,Simbad,1681,11.01455444,4.37E-05,41.64118678,3.30E-05,19.60047154,0.02846333,19.96274003,0.073205724,19.41763066,0.0663449,19.23816233,0.065317111,,,0.300622937,2
,514,11.01484306,41.63188694,1.47,0.42,0.93,1263,,-0.01,,20,0.19,,19.67,0.06,,19.89,0.03,,19.52,0.19,>,18.91,0.1503876,>,17.99,0.15390909,,0,Simbad,377,11.01483129,7.74E-05,41.63185404,6.12E-05,22.11653885,0.055442342,21.62310626,0.140873337,21.64326868,0.16750906,21.43095854,0.173725699,,,0.122618865,2
,27A,11.016225,41.27621806,2.25,0.62,0.99,0,,-0.01,,17.33,0.07,,17.5,0.04,,18.14,0.05,,16.96,0.06,,16.18,0.05,,15.43,0.06,,0,Simbad,22,11.01610882,7.18E-05,41.27613755,3.37E-05,19.45464465,0.059240254,19.38042914,0.074287735,19.2343588,0.066931843,18.76354067,0.090659662,,,0.427562619,7
,27B,11.016225,41.27621806,2.25,0.62,0.99,0,,-0.01,,17.33,0.07,,17.5,0.04,,18.14,0.05,,16.96,0.06,,16.18,0.05,,15.43,0.06,,0,Simbad,22,11.01617371,3.16E-05,41.27607684,5.98E-05,19.68272156,0.072432847,19.3137732,0.050291162,19.30543898,0.064679241,19.11222454,0.08144638,19.61271072,0.046356884,0.526960366,1
,425,11.01645,41.43853194,1.8,0.47,0.94,0,B214-G265,-0.01,,19.08,0.02,,18.45,0.01,,18.23,0.02,,16.72,0.04,,16.19,0.09,,15.51,0.12,,2,Simbad,314,11.01648731,6.94E-05,41.43849209,6.49E-05,21.40619562,0.043221469,22.07837798,0.171695141,21.5113069,0.15796098,20.50972648,0.114417996,,,0.175290245,2
,2577,11.01856889,41.65543306,2.09,0.78,0.72,1283,,-0.07,,19.25,0.14,,19.39,0.15,,19.96,0.13,,18.91,0.36,,17.75,0.35,,16.81,0.34,,0,Simbad,1655,11.01848585,8.12E-05,41.65539501,1.11E-04,21.26768185,0.04137328,21.79511328,0.151723425,22.00768131,0.197202906,20.98142418,0.141600903,,,0.261997263,2
