F148W,F169M,F172M,N219M,N279N,u_prime,g_prime,r_prime,i_prime,z_prime,IRAC1,IRAC2,age,Z
7.47E-20,7.16E-20,7.03E-20,6.01E-20,4.91E-20,5.11749E-20,7.66933E-20,7.0892E-20,6.74682E-20,6.56575E-20,1.30035E-20,6.143E-21,3.98E+06,0.00087
4.79E-20,4.52E-20,4.43E-20,3.74E-20,2.97E-20,2.40333E-20,2.00811E-20,1.35531E-20,1.02284E-20,8.13265E-21,8.59772E-22,3.94484E-22,6.31E+06,0.00087
2.67E-20,2.49E-20,2.46E-20,2.07E-20,1.66E-20,1.36561E-20,1.20538E-20,8.21128E-21,6.2824E-21,5.00267E-21,6.40659E-22,2.84878E-22,1.00E+07,0.00087
1.42E-20,1.34E-20,1.33E-20,1.16E-20,9.69E-21,8.64615E-21,8.88031E-21,6.88803E-21,5.88456E-21,5.07257E-21,8.82842E-22,4.03142E-22,1.59E+07,0.00087
7.92E-21,7.62E-21,7.49E-21,6.59E-21,5.73E-21,5.53787E-21,6.77958E-21,6.14416E-21,5.94392E-21,6.02735E-21,2.20656E-21,9.31663E-22,2.51E+07,0.00087
4.75E-21,4.66E-21,4.56E-21,4.21E-21,3.78E-21,3.83795E-21,5.53845E-21,5.31378E-21,5.22183E-21,5.26956E-21,1.74405E-21,7.92181E-22,3.98E+07,0.00087
2.67E-21,2.66E-21,2.62E-21,2.51E-21,2.37E-21,2.59361E-21,4.03565E-21,3.52584E-21,3.26537E-21,3.04472E-21,7.36529E-22,3.36028E-22,6.31E+07,0.00087
1.50E-21,1.53E-21,1.52E-21,1.50E-21,1.47E-21,1.74443E-21,3.06174E-21,2.76026E-21,2.62865E-21,2.58194E-21,7.49478E-22,3.72741E-22,1.00E+08,0.00087
8.20E-22,8.47E-22,8.54E-22,8.83E-22,9.05E-22,1.16886E-21,2.26013E-21,2.19278E-21,2.15031E-21,2.15241E-21,6.63415E-22,3.07265E-22,1.59E+08,0.00087
4.41E-22,4.64E-22,4.78E-22,5.21E-22,5.66E-22,8.04421E-22,1.67627E-21,1.68691E-21,1.6645E-21,1.68335E-21,5.21915E-22,2.3552E-22,2.51E+08,0.00087
2.27E-22,2.46E-22,2.59E-22,3.04E-22,3.54E-22,5.54396E-22,1.25299E-21,1.26982E-21,1.25746E-21,1.25888E-21,3.82425E-22,1.71251E-22,3.98E+08,0.00087
1.05E-22,1.17E-22,1.26E-22,1.63E-22,2.10E-22,3.78042E-22,9.08402E-22,9.75587E-22,9.98376E-22,1.00326E-21,3.32486E-22,1.56145E-22,6.31E+08,0.00087
4.21E-23,5.10E-23,5.83E-23,8.26E-23,1.17E-22,2.48723E-22,6.36829E-22,7.63848E-22,8.21768E-22,8.703E-22,4.83895E-22,2.54007E-22,1.00E+09,0.00087
1.21E-23,1.65E-23,2.36E-23,4.00E-23,6.25E-23,1.5669E-22,4.45244E-22,6.07369E-22,6.90763E-22,7.5062E-22,3.2659E-22,1.54233E-22,1.59E+09,0.00087
1.55E-24,2.60E-24,7.23E-24,1.95E-23,3.50E-23,9.93283E-23,2.89123E-22,4.14603E-22,4.76386E-22,5.13564E-22,1.73686E-22,7.82549E-23,2.51E+09,0.00087
3.36E-25,5.46E-25,2.02E-24,9.54E-24,1.99E-23,6.58042E-23,1.89706E-22,2.93253E-22,3.45411E-22,3.76822E-22,1.34538E-22,6.02783E-23,3.98E+09,0.00087
7.69E-26,1.23E-25,5.10E-25,4.62E-24,1.21E-23,7.20911E-23,4.81065E-22,1.22545E-21,1.68049E-21,1.99437E-21,9.00272E-22,4.023E-22,6.31E+09,0.00087
1.91E-26,3.02E-26,1.31E-25,2.31E-24,7.64E-24,8.33602E-23,6.37517E-22,1.62696E-21,2.24759E-21,2.67941E-21,1.22004E-21,5.3653E-22,1.00E+10,0.00087
1.34E-26,2.19E-26,9.03E-26,1.85E-24,9.93E-24,1.72782E-22,8.20183E-22,1.633E-21,2.20543E-21,2.60717E-21,1.02832E-21,4.64298E-22,1.59E+10,0.00087
6.88E-20,6.47E-20,6.30E-20,5.24E-20,4.14E-20,4.98249E-20,9.63528E-20,9.96059E-20,9.65421E-20,9.82046E-20,2.0153E-20,9.62012E-21,3.98E+06,0.00155
4.73E-20,4.44E-20,4.40E-20,3.85E-20,3.13E-20,2.67086E-20,2.59088E-20,1.84263E-20,1.44415E-20,1.19722E-20,1.48658E-21,6.82814E-22,6.31E+06,0.00155
2.65E-20,2.47E-20,2.46E-20,2.13E-20,1.75E-20,1.513E-20,1.44039E-20,1.00869E-20,7.82358E-21,6.39427E-21,8.86886E-22,3.99279E-22,1.00E+07,0.00155
1.43E-20,1.35E-20,1.35E-20,1.18E-20,9.97E-21,9.30119E-21,1.01455E-20,8.21697E-21,7.18451E-21,6.4838E-21,1.25569E-21,5.67683E-22,1.59E+07,0.00155
7.80E-21,7.54E-21,7.39E-21,6.64E-21,5.78E-21,5.63302E-21,7.66177E-21,7.71702E-21,7.57267E-21,7.87721E-21,3.09791E-21,1.39299E-21,2.51E+07,0.00155
4.40E-21,4.30E-21,4.25E-21,3.95E-21,3.59E-21,3.8113E-21,5.91181E-21,5.97126E-21,6.09596E-21,6.30351E-21,2.25943E-21,9.79472E-22,3.98E+07,0.00155
2.45E-21,2.44E-21,2.43E-21,2.32E-21,2.19E-21,2.47055E-21,4.24563E-21,3.96226E-21,3.80363E-21,3.66758E-21,9.55702E-22,4.36755E-22,6.31E+07,0.00155
1.36E-21,1.38E-21,1.39E-21,1.38E-21,1.36E-21,1.6471E-21,3.01293E-21,3.00512E-21,2.91095E-21,2.8994E-21,9.42385E-22,4.499E-22,1.00E+08,0.00155
7.58E-22,7.84E-22,7.93E-22,8.32E-22,8.57E-22,1.11248E-21,2.17489E-21,2.22256E-21,2.22734E-21,2.2696E-21,7.73202E-22,3.58895E-22,1.59E+08,0.00155
4.07E-22,4.33E-22,4.47E-22,4.96E-22,5.43E-22,7.85466E-22,1.64626E-21,1.6798E-21,1.67429E-21,1.68775E-21,5.55854E-22,2.4976E-22,2.51E+08,0.00155
2.04E-22,2.23E-22,2.34E-22,2.78E-22,3.29E-22,5.3682E-22,1.21804E-21,1.27868E-21,1.29281E-21,1.29327E-21,4.08755E-22,1.83706E-22,3.98E+08,0.00155
9.12E-23,1.05E-22,1.13E-22,1.45E-22,1.86E-22,3.55828E-22,8.66061E-22,9.82551E-22,1.0207E-21,1.06398E-21,4.91554E-22,2.52317E-22,6.31E+08,0.00155
3.26E-23,4.15E-23,5.03E-23,7.20E-23,1.02E-22,2.28868E-22,6.08465E-22,7.33222E-22,7.87459E-22,8.29181E-22,5.84127E-22,3.71525E-22,1.00E+09,0.00155
6.60E-24,1.02E-23,1.84E-23,3.40E-23,5.48E-23,1.82677E-22,7.2845E-22,1.46288E-21,1.92879E-21,2.42874E-21,1.76155E-21,8.098E-22,1.59E+09,0.00155
