F148W,F169M,F172M,N219M,N279N,u_prime,g_prime,r_prime,i_prime,z_prime,IRAC1,IRAC2,age,Z
1.94E-20,1.80E-20,1.83E-20,1.72E-20,1.50E-20,1.51127E-20,2.00367E-20,1.78997E-20,1.7191E-20,1.80145E-20,7.1906E-21,2.87995E-21,1.00E+07,0.01471
1.02E-20,9.70E-21,1.01E-20,9.48E-21,8.24E-21,7.58641E-21,9.98823E-21,9.62292E-21,1.03025E-20,1.17127E-20,6.82943E-21,2.52943E-21,1.59E+07,0.01471
5.57E-21,5.46E-21,5.69E-21,5.56E-21,5.07E-21,5.03737E-21,6.94702E-21,6.50269E-21,7.30267E-21,8.58756E-21,5.69361E-21,2.12003E-21,2.51E+07,0.01471
3.11E-21,3.16E-21,3.27E-21,3.31E-21,3.17E-21,3.43165E-21,5.31843E-21,5.18497E-21,6.33739E-21,7.86242E-21,5.59459E-21,2.35008E-21,3.98E+07,0.01471
1.70E-21,1.78E-21,1.82E-21,1.92E-21,1.93E-21,2.27707E-21,3.82383E-21,3.62642E-21,3.50561E-21,3.51259E-21,1.17746E-21,5.06733E-22,6.31E+07,0.01471
9.00E-22,9.72E-22,1.00E-21,1.10E-21,1.16E-21,1.47427E-21,2.62119E-21,2.65502E-21,2.65802E-21,2.68488E-21,1.34293E-21,6.5033E-22,1.00E+08,0.01471
4.46E-22,4.95E-22,5.23E-22,6.11E-22,6.71E-22,9.5086E-22,1.90999E-21,1.91121E-21,1.91551E-21,1.99694E-21,1.03446E-21,4.73375E-22,1.59E+08,0.01471
1.93E-22,2.29E-22,2.49E-22,3.12E-22,3.62E-22,6.0228E-22,1.4146E-21,1.42889E-21,1.42435E-21,1.47117E-21,7.50454E-22,3.475E-22,2.51E+08,0.01471
5.94E-23,7.88E-23,1.02E-22,1.45E-22,1.84E-22,3.71417E-22,1.0195E-21,1.06463E-21,1.07277E-21,1.10662E-21,6.59655E-22,3.07379E-22,3.98E+08,0.01471
8.32E-24,1.37E-23,2.97E-23,6.04E-23,8.50E-23,2.21689E-22,6.90193E-22,8.01897E-22,8.61155E-22,9.37199E-22,7.01068E-22,3.53917E-22,6.31E+08,0.01471
7.63E-25,1.24E-24,4.61E-24,2.21E-23,3.70E-23,1.32046E-22,4.2909E-22,5.78192E-22,6.4949E-22,7.18064E-22,4.50333E-22,2.11058E-22,1.00E+09,0.01471
7.85E-26,1.24E-25,4.89E-25,7.04E-24,1.55E-23,7.82496E-23,2.84116E-22,4.67619E-22,5.78823E-22,6.77879E-22,4.00171E-22,1.68976E-22,1.59E+09,0.01471
1.08E-26,1.60E-26,5.50E-26,2.19E-24,6.25E-24,3.95854E-23,1.53298E-22,2.71376E-22,3.50836E-22,4.17134E-22,2.61056E-22,1.10058E-22,2.51E+09,0.01471
2.84E-27,4.05E-27,1.20E-26,7.19E-25,2.67E-24,2.14414E-23,9.54E-23,1.87472E-22,2.50534E-22,3.03183E-22,1.98017E-22,8.37873E-23,3.98E+09,0.01471
1.88E-27,2.49E-27,4.44E-27,2.54E-25,1.26E-24,1.22184E-23,5.98531E-23,1.19601E-22,1.61752E-22,1.9809E-22,1.12742E-22,4.76515E-23,6.31E+09,0.01471
6.75E-29,1.07E-28,4.28E-28,6.46E-26,5.33E-25,6.77471E-24,3.91514E-23,8.51888E-23,1.17566E-22,1.48784E-22,9.18251E-23,3.87395E-23,1.00E+10,0.01471
1.46E-29,2.34E-29,9.32E-29,1.53E-26,2.44E-25,6.50332E-24,1.17445E-22,4.2234E-22,7.91706E-22,1.15339E-21,9.68658E-22,3.94888E-22,1.59E+10,0.01471
7.33E-20,6.72E-20,7.13E-20,7.13E-20,5.62E-20,4.56392E-20,3.57517E-20,2.39604E-20,1.72533E-20,1.33914E-20,1.28191E-21,5.84374E-22,3.98E+06,0.02509
3.91E-20,3.67E-20,3.78E-20,3.65E-20,3.17E-20,2.78059E-20,2.75179E-20,2.40971E-20,2.49537E-20,2.7908E-20,1.44317E-20,5.92231E-21,6.31E+06,0.02509
1.75E-20,1.64E-20,1.67E-20,1.57E-20,1.37E-20,1.211E-20,1.32381E-20,1.31782E-20,1.59268E-20,2.07243E-20,1.5E-20,5.97903E-21,1.00E+07,0.02509
9.29E-21,8.90E-21,9.51E-21,9.22E-21,8.16E-21,7.0233E-21,7.44536E-21,6.80051E-21,8.70971E-21,1.14168E-20,9.0776E-21,3.42149E-21,1.59E+07,0.02509
5.04E-21,5.01E-21,5.30E-21,5.29E-21,4.88E-21,4.67101E-21,6.18051E-21,6.23638E-21,6.95005E-21,8.16894E-21,5.47024E-21,2.10736E-21,2.51E+07,0.02509
2.81E-21,2.90E-21,3.03E-21,3.12E-21,3.02E-21,3.16209E-21,4.65425E-21,4.78053E-21,5.90255E-21,7.36238E-21,5.6045E-21,2.24573E-21,3.98E+07,0.02509
1.50E-21,1.61E-21,1.67E-21,1.79E-21,1.82E-21,2.0807E-21,3.28051E-21,3.25079E-21,3.31218E-21,3.47576E-21,1.43767E-21,5.87248E-22,6.31E+07,0.02509
7.47E-22,8.34E-22,8.71E-22,9.97E-22,1.06E-21,1.38734E-21,2.45677E-21,2.39145E-21,2.35888E-21,2.47817E-21,1.66958E-21,8.43517E-22,1.00E+08,0.02509
3.42E-22,3.93E-22,4.29E-22,5.25E-22,5.80E-22,8.91261E-22,1.84027E-21,1.81518E-21,1.80381E-21,1.87795E-21,1.21386E-21,5.16553E-22,1.59E+08,0.02509
1.28E-22,1.59E-22,1.89E-22,2.51E-22,2.98E-22,5.51007E-22,1.3663E-21,1.35982E-21,1.34652E-21,1.38666E-21,8.5723E-22,3.91681E-22,2.51E+08,0.02509
2.65E-23,4.11E-23,6.70E-23,1.07E-22,1.40E-22,3.29736E-22,9.60506E-22,1.01919E-21,1.02756E-21,1.07048E-21,6.52581E-22,2.88341E-22,3.98E+08,0.02509
2.45E-24,4.01E-24,1.27E-23,4.04E-23,6.02E-23,1.90908E-22,6.1713E-22,7.47255E-22,7.94282E-22,8.48791E-22,5.71588E-22,2.81739E-22,6.31E+08,0.02509
1.78E-25,2.85E-25,1.14E-24,1.22E-23,2.39E-23,1.08598E-22,3.69202E-22,5.28643E-22,5.92713E-22,6.39616E-22,4.32717E-22,1.8925E-22,1.00E+09,0.02509
1.33E-26,2.04E-26,7.56E-26,3.34E-24,9.31E-24,6.11831E-23,2.3431E-22,3.9661E-22,4.81256E-22,5.5117E-22,3.42007E-22,1.4611E-22,1.59E+09,0.02509
2.32E-27,3.39E-27,9.78E-27,9.16E-25,3.65E-24,2.99999E-23,1.28186E-22,2.35692E-22,3.0826E-22,3.7145E-22,2.58991E-22,1.0905E-22,2.51E+09,0.02509
2.18E-27,2.83E-27,4.65E-27,2.23E-25,1.39E-24,1.46441E-23,7.72225E-23,1.60712E-22,2.21309E-22,2.79147E-22,2.07292E-22,8.59785E-23,3.98E+09,0.02509
9.45E-29,1.52E-28,5.94E-28,7.82E-26,6.77E-25,8.3028E-24,4.84254E-23,1.03584E-22,1.43194E-22,1.8157E-22,1.16691E-22,4.83464E-23,6.31E+09,0.02509
2.62E-29,4.20E-29,1.67E-28,2.09E-26,3.00E-25,4.53676E-24,3.22262E-23,7.27178E-23,1.03885E-22,1.31895E-22,9.30438E-23,3.88076E-23,1.00E+10,0.02509
5.12E-30,8.18E-30,3.28E-29,4.97E-27,1.18E-25,2.52721E-24,2.16703E-23,5.30703E-23,7.93097E-23,1.05216E-22,8.20708E-23,3.3716E-23,1.59E+10,0.02509
6.03E-20,5.13E-20,5.55E-20,7.44E-20,5.56E-20,4.18433E-20,3.31285E-20,2.19925E-20,1.58994E-20,1.21509E-20,1.29913E-21,6.45224E-22,3.98E+06,0.04162
3.11E-20,2.68E-20,2.99E-20,3.95E-20,3.12E-20,2.82072E-20,3.37459E-20,3.12379E-20,3.01756E-20,2.94161E-20,1.01003E-20,4.31611E-21,6.31E+06,0.04162
1.53E-20,1.40E-20,1.52E-20,1.73E-20,1.37E-20,1.11352E-20,1.0132E-20,7.43447E-21,9.60367E-21,1.53909E-20,2.20816E-20,7.82715E-21,1.00E+07,0.04162
7.93E-21,7.77E-21,8.48E-21,8.66E-21,7.86E-21,6.99178E-21,7.39509E-21,5.98152E-21,7.81151E-21,1.04351E-20,9.80485E-21,3.72252E-21,1.59E+07,0.04162
4.30E-21,4.38E-21,4.72E-21,4.94E-21,4.69E-21,4.51479E-21,5.45763E-21,4.69549E-21,5.80981E-21,7.61728E-21,7.70724E-21,3.26693E-21,2.51E+07,0.04162
2.36E-21,2.52E-21,2.67E-21,2.87E-21,2.85E-21,3.04115E-21,4.19119E-21,3.83082E-21,4.61294E-21,6.0995E-21,5.59732E-21,2.26464E-21,3.98E+07,0.04162
1.21E-21,1.34E-21,1.41E-21,1.59E-21,1.65E-21,2.00069E-21,3.14441E-21,2.89385E-21,2.94954E-21,3.13575E-21,1.47531E-21,6.06272E-22,6.31E+07,0.04162
5.71E-22,6.62E-22,7.07E-22,8.55E-22,9.23E-22,1.30952E-21,2.38188E-21,2.24466E-21,2.22383E-21,2.3256E-21,1.8952E-21,9.48072E-22,1.00E+08,0.04162
2.36E-22,2.90E-22,3.30E-22,4.31E-22,4.80E-22,8.17969E-22,1.78077E-21,1.71752E-21,1.68739E-21,1.74509E-21,1.36607E-21,5.86986E-22,1.59E+08,0.04162
7.10E-23,9.94E-23,1.34E-22,1.95E-22,2.35E-22,4.93866E-22,1.29383E-21,1.29185E-21,1.27701E-21,1.31742E-21,8.65763E-22,4.10553E-22,2.51E+08,0.04162
9.44E-24,1.56E-23,3.51E-23,7.73E-23,1.02E-22,2.84512E-22,8.7752E-22,9.6242E-22,9.77368E-22,1.01009E-21,6.47444E-22,2.8129E-22,3.98E+08,0.04162
6.22E-25,9.98E-25,3.84E-24,2.42E-23,3.99E-23,1.60438E-22,5.35143E-22,6.88619E-22,7.40477E-22,7.86427E-22,5.09025E-22,2.1401E-22,6.31E+08,0.04162
2.95E-26,4.68E-26,1.75E-25,5.60E-24,1.38E-23,8.56895E-23,3.09732E-22,4.75031E-22,5.43766E-22,5.96692E-22,3.97675E-22,1.68136E-22,1.00E+09,0.04162
2.94E-27,4.68E-27,1.41E-26,1.28E-24,5.35E-24,4.46958E-23,1.90276E-22,3.37199E-22,4.08536E-22,4.70859E-22,3.11822E-22,1.31105E-22,1.59E+09,0.04162
1.41E-27,1.96E-27,4.13E-27,3.15E-25,2.17E-24,2.20807E-23,1.08415E-22,2.13016E-22,2.8157E-22,3.44867E-22,2.47553E-22,1.04526E-22,2.51E+09,0.04162
9.70E-29,1.55E-28,6.12E-28,7.12E-26,8.13E-25,1.04338E-23,6.6624E-23,1.45723E-22,2.06012E-22,2.64802E-22,1.89564E-22,7.68356E-23,3.98E+09,0.04162
3.76E-29,6.01E-29,2.39E-28,2.75E-26,4.04E-25,5.75319E-24,4.05585E-23,9.4139E-23,1.32425E-22,1.7149E-22,1.2759E-22,5.20385E-23,6.31E+09,0.04162
1.04E-29,1.67E-29,6.68E-29,8.33E-27,1.73E-25,3.06271E-24,2.57779E-23,6.14425E-23,9.19046E-23,1.19814E-22,9.53549E-23,3.91915E-23,1.00E+10,0.04162
1.91E-30,3.08E-30,1.24E-29,2.13E-27,7.03E-26,1.67367E-24,1.73888E-23,4.53089E-23,6.92103E-23,9.44405E-23,8.63523E-23,3.52036E-23,1.59E+10,0.04162
