f275w_ul,f275w_vega,f275w_err_orig,f275w_err,,f336w_ul,f336w_vega,f336w_err_orig,f336w_err,,f475w_ul,f475w_vega,f475w_err_orig,f475w_err,,f814w_ul,f814w_vega,f814w_err_orig,f814w_err,,f110w_ul,f110w_vega,f110w_err_orig,f110w_err,,f160w_ul,f160w_vega,f160w_err_orig,f160w_err,,F148W_ul,F148W_AB,F148W_err,,F172M_ul,F172M_AB,F172M_err,,N219M_ul,N219M_AB,N219M_err,,N279N_ul,N279N_AB,N279N_err,,F169M_ul,F169M_AB,F169M_err_orig,F169M_err
 ,19.35,0.05,0.05,, ,19.13,0.02,0.02,, ,19.35,0.05,0.05,, ,18.31,0.16,0.16,,>,17.01,,0.01,,>,17.19,,0.01,,,21.66446189,0.117679841,,,21.39145205,0.159458477,,,21.42015402,0.14767602,,,,,,,,,0.01
 ,20.04,0.11,0.11,, ,19.34,0.04,0.04,, ,19.13,0.03,0.03,, ,18.2,0.14,0.14,, ,17.69,0.25,0.25,, ,17.11,0.36,0.36,,,22.63022898,0.067772319,,,21.98721407,0.164966396,,,22.38439738,0.233759308,,,,,,,,,0.01
 ,20.17,0.14,0.14,, ,19.44,0.02,0.02,, ,19.24,0.03,0.03,, ,18.63,0.22,0.22,,>,17.61,,0.01,,>,16.79,,0.01,,,22.90658679,0.075903431,,,22.79579796,0.236251131,,,21.89908274,0.187812679,,,,,,,,,0.01
 ,19.24,0.32,0.32,, ,18.97,0.15,0.15,, ,19.25,0.11,0.11,, ,18.12,0.1,0.1,, ,17.72,0.21,0.21,, ,17.02,0.28,0.28,,,22.44929827,0.162661347,,,21.35245518,0.156824552,,,21.52208163,0.154196919,,,,,,,,,0.01
 ,19.24,0.32,0.32,, ,18.97,0.15,0.15,, ,19.25,0.11,0.11,, ,18.12,0.1,0.1,, ,17.72,0.21,0.21,, ,17.02,0.28,0.28,,,22.085887,0.089589382,,,21.45116315,0.11124318,,,21.91929834,0.187231812,,,,,,,20.52356037,0.095549611,0.095549611
 ,18.96,0.04,0.04,, ,18.68,0.02,0.02,, ,18.92,0.03,0.03,, ,17.75,0.1,0.1,, ,16.91,0.14,0.14,, ,16.15,0.17,0.17,,,21.62857907,0.046527548,,,22.30151435,0.189464518,,,21.95361405,0.192467719,,,,,,,,,0.01
 ,18.53,0.01,0.01,, ,18.74,0.01,0.01,, ,19.87,0.04,0.04,,>,19.07,,0.01,,>,17.97,,0.01,,>,16.74,,0.01,,,20.28668191,0.032066225,,,20.41260208,0.086118695,,,20.12275207,0.087170205,,,,,,,,,0.01
 ,18.53,0.01,0.01,, ,18.74,0.01,0.01,, ,19.87,0.04,0.04,,>,19.07,,0.01,,>,17.97,,0.01,,>,16.74,,0.01,,,20.5249091,0.075142799,,,20.18322441,0.067012286,,,20.09051951,0.086162951,,,,,,,19.28398255,0.058169274,0.058169274
 ,20.01,0.06,0.06,, ,19.89,0.09,0.09,, ,19.98,0.04,0.04,, ,19.46,0.28,0.28,,>,17.92,,0.01,,>,17.03,,0.01,,,22.36476031,0.060982543,,,22.81235116,0.238015348,,,21.55628456,0.161148138,,,,,,,,,0.01
>,19.24,0.01,0.01,, ,19.05,0.2,0.2,, ,19.42,0.16,0.16,, ,18.9,0.32,0.32,,>,17.92,,0.01,,>,16.75,,0.01,,,20.90728785,0.037245025,,,21.38805579,0.127457125,,,20.76193229,0.113860195,,,,,,,,,0.01
>,19.24,0.01,0.01,, ,19.05,0.2,0.2,, ,19.42,0.16,0.16,, ,18.9,0.32,0.32,,>,17.92,,0.01,,>,16.75,,0.01,,,21.03350537,0.078033712,,,20.72621961,0.082465328,,,21.66412356,0.167181706,,,,,,,20.2318501,0.084504005,0.084504005
 ,20.21,0.08,0.08,, ,20.17,0.07,0.07,, ,20.52,0.09,0.09,, ,20.02,0.22,0.22,, ,18.06,0.1,0.1,, ,17.08,0.09,0.09,,,22.81215579,0.104870345,,,22.20376676,0.154336192,,,22.98236967,0.302402376,,,,,,,21.40626077,0.140429474,0.140429474
 ,19.12,0.04,0.04,, ,18.97,0.01,0.01,, ,19.12,0.01,0.01,, ,18.27,0.05,0.05,, ,17.86,0.09,0.09,, ,17.21,0.1,0.1,,,21.2824722,0.041563298,,,21.37970111,0.127008471,,,21.37964537,0.149015434,,,,,,,,,0.01
 ,16.32,0.04,0.04,, ,16.49,0.04,0.04,, ,17.22,0.03,0.03,, ,16.76,0.05,0.05,, ,16.37,0.12,0.12,, ,15.85,0.19,0.19,,,18.19995912,0.025116769,,,18.54803968,0.049400964,,,17.84496469,0.041556489,,,,,,,,,0.01
 ,16.32,0.04,0.04,, ,16.49,0.04,0.04,, ,17.22,0.03,0.03,, ,16.76,0.05,0.05,, ,16.37,0.12,0.12,, ,15.85,0.19,0.19,,,18.35383922,0.070750596,,,17.80336832,0.036450599,,,18.09696366,0.046175427,,,,,,,17.32166171,0.033627679,0.033627679
 ,19.8,0.1,0.1,, ,19.57,0.08,0.08,, ,19.74,0.09,0.09,, ,19.69,0.07,0.07,,>,18.62,,0.01,,>,17.56,,0.01,,,21.9302594,0.130947821,,,21.9402485,0.202381747,,,21.27022701,0.138667638,,,,,,,,,0.01
 ,15.26,0.09,0.09,, ,15.28,0.1,0.1,, ,16.33,0.09,0.09,, ,15.77,0.11,0.11,, ,15.56,0.15,0.15,, ,15.52,0.25,0.25,,,17.51490357,0.047074781,,,16.85027791,0.046630306,,,17.32526382,0.047634311,,,,,,,,,0.01
 ,19.52,0.05,0.05,, ,19.36,0.02,0.02,, ,19.56,0.01,0.01,, ,18.89,0.2,0.2,,>,18.47,,0.01,,>,17.58,,0.01,,,21.98548176,0.052804556,,,22.67019544,0.22330441,,,21.76607865,0.176949539,,,,,,,,,0.01
 ,19.08,0.02,0.02,, ,18.45,0.01,0.01,, ,18.23,0.02,0.02,, ,16.72,0.04,0.04,, ,16.19,0.09,0.09,, ,15.51,0.12,0.12,,,21.40619562,0.043221469,,,22.07837798,0.171695141,,,21.5113069,0.15796098,,,,,,,,,0.01
 ,16.34,0.03,0.03,, ,16.47,0.03,0.03,, ,17.49,0.02,0.02,, ,17.41,0.04,0.04,, ,17.14,0.24,0.24,,>,16.67,,0.01,,,18.54603706,0.025620743,,,18.84228841,0.052720298,,,18.34088851,0.046930184,,,,,,,,,0.01
 ,19.21,0.03,0.03,, ,19.26,0.03,0.03,, ,20.19,0.06,0.06,, ,20.18,0.34,0.34,,>,18.87,,0.01,,>,17.97,,0.01,,,21.05297589,0.038801878,,,21.50403164,0.133881725,,,20.62407968,0.107360704,,,,,,,,,0.01
 ,16.99,0.02,0.02,, ,16.17,0.01,0.01,, ,15.75,0.01,0.01,, ,14.21,0.01,0.01,, ,13.64,0.01,0.01,, ,12.96,0.01,0.01,,,19.84983848,0.029564228,,,20.00684187,0.074331778,,,19.31966173,0.064031278,,,,,,,,,0.01
 ,17.65,0.01,0.01,, ,17.64,0.01,0.01,, ,18.32,0.01,0.01,, ,16.9,0.02,0.02,, ,15.96,0.02,0.02,, ,15.15,0.05,0.05,,,19.70349887,0.062527017,,,19.47863611,0.076611863,,,19.84218066,0.080524676,,,,,,,,,0.01
 ,17.3,0.02,0.02,, ,17.31,0.02,0.02,, ,18.46,0.04,0.04,, ,18.05,0.06,0.06,, ,17.98,0.15,0.15,, ,17.67,0.27,0.27,,,19.24332188,0.027217712,,,19.61635487,0.065302553,,,19.47980231,0.067879877,,,,,,,,,0.01
 ,17.3,0.02,0.02,, ,17.31,0.02,0.02,, ,18.46,0.04,0.04,, ,18.05,0.06,0.06,, ,17.98,0.15,0.15,, ,17.67,0.27,0.27,,,19.42791517,0.0589205,,,19.03056881,0.06706832,,,21.17532678,0.133306941,,,,,,,,,0.01
 ,18.87,0.05,0.05,, ,18.73,0.04,0.04,, ,18.97,0.05,0.05,, ,18.68,0.14,0.14,,>,18.66,,0.01,,>,17.65,,0.01,,,21.49651184,0.044512074,,,22.23823311,0.184230598,,,21.15192047,0.134816537,,,,,,,,,0.01
 ,17.26,0.01,0.01,, ,16.46,0.01,0.01,, ,16.18,0.01,0.01,, ,14.67,0.01,0.01,, ,14.15,0.01,0.01,, ,13.53,0.02,0.02,,,21.26013545,0.100751332,,,20.24942338,0.100308917,,,19.61220048,0.074777782,,,,,,,,,0.01
 ,20,0.19,0.19,, ,19.67,0.06,0.06,, ,19.89,0.03,0.03,, ,19.52,0.19,0.19,,>,18.91,,0.01,,>,17.99,,0.01,,,22.11653885,0.055442342,,,21.62310626,0.140873337,,,21.64326868,0.16750906,,,,,,,,,0.01
 ,19.75,0.01,0.01,, ,19.8,0.02,0.02,, ,20.39,0.05,0.05,,>,19.48,,0.01,, ,19.23,0.29,0.29,,>,18.01,,0.01,,,21.88852992,0.086645988,,,20.75012584,0.083253834,,,21.24078354,0.138887001,,,,,,,21.09786639,0.122533808,0.122533808
 ,19.75,0.01,0.01,, ,19.8,0.02,0.02,, ,20.39,0.05,0.05,,>,19.48,,0.01,, ,19.23,0.29,0.29,,>,18.01,,0.01,,,22.03070324,0.136454386,,,22.5172022,0.261553738,,,21.32415225,0.141830036,,,,,,,,,0.01
 ,18.5,0.03,0.03,, ,18.57,0.03,0.03,, ,19.26,0.06,0.06,, ,18.62,0.16,0.16,, ,18.24,0.22,0.22,,>,17.43,,0.01,,,20.51989714,0.075120083,,,20.49296652,0.075271586,,,21.98815356,0.193072639,,,,,,,19.30735285,0.058671152,0.058671152
 ,18.5,0.03,0.03,, ,18.57,0.03,0.03,, ,19.26,0.06,0.06,, ,18.62,0.16,0.16,, ,18.24,0.22,0.22,,>,17.43,,0.01,,,20.71852398,0.083259061,,,20.0532726,0.093266626,,,20.64381842,0.107666126,,,,,,,,,0.01
 ,16.22,0.03,0.03,, ,16.51,0.03,0.03,, ,18.06,0.04,0.04,, ,18.26,0.15,0.15,,>,18.56,,0.01,,>,17.1,,0.01,,,18.26707348,0.025203083,,,18.28857209,0.04699983,,,18.5258844,0.049430183,,,,,,,,,0.01
