F148W,F169M,F172M,N219M,N279N,f275w,f336w,f475w,f814w,f110w,f160w,,,ageuniq,Zuniq,ageconv,Zconv
4.14719E-22,4.33986E-22,4.45607E-22,4.80078E-22,5.25112E-22,5.19609E-22,6.11197E-22,3.10613E-21,1.35903E-21,1.32139E-21,1.25537E-21,,,304000000,0.00129,0.848287358,-1.205380635
1.82404E-22,1.99878E-22,2.12441E-22,2.49377E-22,2.97104E-22,2.90932E-22,3.75855E-22,2.2638E-21,1.01536E-21,9.85259E-22,9.13451E-22,,,522000000,0.00218,0.87176705,-0.977513852
6.92295E-23,7.879E-23,9.06304E-23,1.23627E-22,1.65993E-22,1.6161E-22,2.3543E-22,1.62083E-21,7.72406E-22,7.6872E-22,7.15075E-22,,,897000000,0.00368,0.895279244,-0.750122527
2.21446E-23,2.77875E-23,3.36842E-23,5.31711E-23,8.30743E-23,8.11356E-23,1.44062E-22,1.05919E-21,6.71666E-22,7.0631E-22,7.05264E-22,,,1540000000,0.00619,0.918752072,-0.524279696
4.06218E-24,6.11666E-24,1.12757E-23,2.40207E-23,4.46305E-23,4.36982E-23,9.07886E-23,6.93562E-22,5.13141E-22,5.523E-22,5.61996E-22,,,2650000000,0.01035,0.942324587,-0.301029996
5.2478E-25,8.63549E-25,2.88398E-24,1.1269E-23,2.41213E-23,2.35545E-23,5.39801E-23,4.08002E-22,3.27142E-22,3.54429E-22,3.62327E-22,,,4560000000,0.01712,0.965896484,-0.082466585
9.11132E-26,1.45278E-25,5.88712E-25,4.97018E-24,1.30869E-23,1.2962E-23,3.38836E-23,2.55819E-22,2.29496E-22,2.56045E-22,2.68922E-22,,,7840000000,0.00016,0.989431606,-2.111850363
1.01471E-25,1.69097E-25,5.09923E-25,2.96723E-24,7.96658E-24,7.96902E-24,2.19686E-23,1.79644E-22,1.65147E-22,1.88435E-22,1.98885E-22,,,13500000000,0.00026,1.013033377,-1.900996997
7.92069E-20,7.58035E-20,7.29995E-20,6.19301E-20,5.00561E-20,5.15512E-20,4.37593E-20,1.20461E-19,4.31742E-20,3.53911E-20,2.76333E-20,,,3980000,0.00045,0.659988307,-1.662757832
4.2136E-20,3.99492E-20,3.83636E-20,3.13767E-20,2.41491E-20,2.51973E-20,1.94813E-20,3.18755E-20,6.88057E-21,4.12481E-21,2.56895E-21,,,6840000,0.00076,0.68350561,-1.435156753
2.16507E-20,2.02899E-20,1.96696E-20,1.62013E-20,1.26388E-20,1.30817E-20,1.0392E-20,1.82071E-20,4.05375E-21,2.56501E-21,1.71717E-21,,,11800000,0.00129,0.707188201,-1.205380635
1.08875E-20,1.04045E-20,1.01258E-20,8.66294E-21,7.23918E-21,7.44172E-21,6.40603E-21,1.49358E-20,4.74347E-21,3.95893E-21,3.37996E-21,,,20200000,0.00218,0.730535137,-0.977513852
5.88223E-21,5.74461E-21,5.58997E-21,4.99036E-21,4.39012E-21,4.44747E-21,3.93764E-21,1.15013E-20,5.29739E-21,5.58424E-21,5.95647E-21,,,34800000,0.00368,0.754157924,-0.750122527
3.07399E-21,3.04195E-21,2.9978E-21,2.79614E-21,2.55525E-21,2.58279E-21,2.47549E-21,8.05376E-21,2.68856E-21,2.24608E-21,1.8461E-21,,,59800000,0.00619,0.777670118,-0.524279696
1.60485E-21,1.61202E-21,1.60713E-21,1.57039E-21,1.53142E-21,1.52721E-21,1.56093E-21,5.95873E-21,2.22961E-21,2.00622E-21,1.77509E-21,,,103000000,0.01035,0.801283722,-0.301029996
7.95442E-22,8.22672E-22,8.28043E-22,8.54716E-22,8.79056E-22,8.69061E-22,9.5945E-22,4.39591E-21,1.84405E-21,1.77874E-21,1.67701E-21,,,177000000,0.01712,0.824797327,-0.082466585
3.76396E-22,3.99213E-22,4.10159E-22,4.50069E-22,4.98411E-22,4.90548E-22,5.92474E-22,3.21316E-21,1.42493E-21,1.36539E-21,1.30239E-21,,,304000000,0.00016,0.848287358,-2.111850363
1.65006E-22,1.81544E-22,1.95209E-22,2.34233E-22,2.81425E-22,2.76738E-22,3.69737E-22,2.26391E-21,1.04049E-21,1.01527E-21,9.49347E-22,,,522000000,0.00026,0.87176705,-1.900996997
6.24824E-23,7.19636E-23,8.01315E-23,1.12005E-22,1.54244E-22,1.50548E-22,2.31834E-22,1.5679E-21,8.46145E-22,9.02497E-22,9.12314E-22,,,897000000,0.00045,0.895279244,-1.662757832
1.87388E-23,2.42442E-23,3.04965E-23,4.8787E-23,7.74406E-23,7.70108E-23,1.50205E-22,1.16735E-21,8.79758E-22,1.03083E-21,1.11582E-21,,,1540000000,0.00076,0.918752072,-1.435156753
2.5452E-24,3.99232E-24,8.89803E-24,2.13459E-23,3.88146E-23,3.90664E-23,8.54609E-23,6.67198E-22,5.08669E-22,5.56134E-22,5.72769E-22,,,2650000000,0.00129,0.942324587,-1.205380635
3.74095E-25,6.13939E-25,2.16693E-24,9.76594E-24,2.10165E-23,2.09758E-23,5.04462E-23,3.89031E-22,3.22455E-22,3.55566E-22,3.70128E-22,,,4560000000,0.00218,0.965896484,-0.977513852
6.80134E-26,1.08621E-25,4.50897E-25,4.23455E-24,1.10974E-23,1.1285E-23,3.15398E-23,2.45152E-22,2.26196E-22,2.58677E-22,2.74503E-22,,,7840000000,0.00368,0.989431606,-0.750122527
3.12762E-26,4.92604E-26,1.9267E-25,2.2856E-24,6.63627E-24,6.73169E-24,2.01846E-23,1.71038E-22,1.62486E-22,1.88271E-22,2.02389E-22,,,13500000000,0.00619,1.013033377,-0.524279696
7.39807E-20,7.17791E-20,6.97408E-20,5.92629E-20,4.85283E-20,5.00777E-20,4.44276E-20,1.59806E-19,6.26157E-20,5.61582E-20,4.35519E-20,,,3980000,0.01035,0.659988307,-0.301029996
4.27564E-20,4.06189E-20,3.96511E-20,3.31563E-20,2.60536E-20,2.69182E-20,2.12374E-20,3.6101E-20,7.9296E-21,4.88104E-21,3.08265E-21,,,6840000,0.01712,0.68350561,-0.082466585
2.18418E-20,2.03992E-20,2.0074E-20,1.68378E-20,1.34726E-20,1.39419E-20,1.12437E-20,2.06206E-20,4.74362E-21,3.06466E-21,2.0913E-21,,,11800000,0.00016,0.707188201,-2.111850363
1.05398E-20,1.01751E-20,1.00368E-20,8.8391E-21,7.46389E-21,7.6048E-21,6.64134E-21,1.60883E-20,5.93591E-21,5.48307E-21,5.22105E-21,,,20200000,0.00026,0.730535137,-1.900996997
