F148W,F169M,F172M,N219M,N279N,f275w,f336w,f475w,f814w,f110w,f160w,,,ageuniq,Zuniq,ageconv,Zconv
7.75892E-20,7.23719E-20,7.27704E-20,6.57046E-20,5.3158E-20,5.52191E-20,4.76601E-20,1.51938E-19,6.00791E-20,5.11651E-20,4.00507E-20,,,3980000,0.00045,0.659988307,-1.662757832
3.61147E-20,3.30822E-20,3.36932E-20,2.9836E-20,2.39469E-20,2.48742E-20,2.09881E-20,6.42338E-20,3.59772E-20,4.09773E-20,4.38532E-20,,,6840000,0.00076,0.68350561,-1.435156753
1.87178E-20,1.76628E-20,1.77491E-20,1.60376E-20,1.37626E-20,1.41106E-20,1.22383E-20,2.91174E-20,1.03512E-20,1.01612E-20,1.00396E-20,,,11800000,0.00129,0.707188201,-1.205380635
8.36859E-21,7.95195E-21,8.01226E-21,7.23866E-21,6.24116E-21,6.37869E-21,5.63287E-21,1.73979E-20,1.01207E-20,1.23399E-20,1.4623E-20,,,20200000,0.00218,0.730535137,-0.977513852
4.23356E-21,4.15406E-21,4.19795E-21,3.97811E-21,3.62866E-21,3.66961E-21,3.46316E-21,1.21348E-20,7.20935E-21,9.20448E-21,1.1045E-20,,,34800000,0.00368,0.754157924,-0.750122527
2.18292E-21,2.21787E-21,2.24592E-21,2.25091E-21,2.17557E-21,2.17229E-21,2.22093E-21,8.51707E-21,3.76791E-21,3.85751E-21,3.94211E-21,,,59800000,0.00619,0.777670118,-0.524279696
1.08145E-21,1.13513E-21,1.15687E-21,1.22682E-21,1.25853E-21,1.24737E-21,1.38381E-21,6.02471E-21,2.71529E-21,2.76245E-21,2.86415E-21,,,103000000,0.01035,0.801283722,-0.301029996
5.08599E-22,5.49084E-22,5.66739E-22,6.36225E-22,6.91281E-22,6.84133E-22,8.4052E-22,4.14956E-21,2.00651E-21,2.12466E-21,2.22693E-21,,,177000000,0.01712,0.824797327,-0.082466585
2.14307E-22,2.41524E-22,2.5817E-22,3.07325E-22,3.55087E-22,3.51424E-22,4.78339E-22,2.83517E-21,1.42601E-21,1.53109E-21,1.62081E-21,,,304000000,0.00016,0.848287358,-2.111850363
6.76362E-23,8.47616E-23,9.80939E-23,1.30578E-22,1.6794E-22,1.66532E-22,2.67139E-22,1.95098E-21,1.0741E-21,1.23997E-21,1.37176E-21,,,522000000,0.00026,0.87176705,-1.900996997
9.23622E-24,1.46001E-23,2.77623E-23,5.07473E-23,7.48853E-23,7.56354E-23,1.49681E-22,1.25536E-21,8.09124E-22,9.74152E-22,1.0833E-21,,,897000000,0.00045,0.895279244,-1.662757832
6.80682E-25,1.11129E-24,3.94008E-24,1.78481E-23,3.16979E-23,3.37121E-23,9.22028E-23,8.77409E-22,7.97064E-22,1.03085E-21,1.1988E-21,,,1540000000,0.00076,0.918752072,-1.435156753
6.4311E-26,1.00809E-25,4.07763E-25,5.3407E-24,1.18183E-23,1.30943E-23,4.36206E-23,4.1122E-22,4.11079E-22,5.36064E-22,6.38751E-22,,,2650000000,0.00129,0.942324587,-1.205380635
1.43495E-26,2.13525E-26,8.2852E-26,1.94392E-24,5.12056E-24,6.0638E-24,2.41992E-23,2.46567E-22,2.77403E-22,3.6743E-22,4.42602E-22,,,4560000000,0.00218,0.965896484,-0.977513852
1.7822E-27,2.7686E-27,1.22523E-26,6.41579E-25,2.22002E-24,2.76483E-24,1.356E-23,1.50085E-22,1.83033E-22,2.41271E-22,2.87729E-22,,,7840000000,0.00368,0.989431606,-0.750122527
2.31868E-28,3.59967E-28,1.57044E-27,1.73024E-25,9.23698E-25,1.28697E-24,1.11337E-23,5.06698E-22,1.3641E-21,2.24556E-21,3.02019E-21,,,13500000000,0.00619,1.013033377,-0.524279696
7.5144E-20,6.94348E-20,7.16967E-20,6.58626E-20,5.3346E-20,5.54494E-20,4.62173E-20,1.05604E-19,3.1017E-20,2.2348E-20,1.61201E-20,,,3980000,0.01035,0.659988307,-0.301029996
3.41023E-20,3.10916E-20,3.18384E-20,2.82672E-20,2.21711E-20,2.31273E-20,1.8563E-20,5.11875E-20,4.29267E-20,5.12986E-20,5.36893E-20,,,6840000,0.01712,0.68350561,-0.082466585
1.82652E-20,1.71649E-20,1.77555E-20,1.63728E-20,1.44442E-20,1.47033E-20,1.27917E-20,2.87113E-20,9.96715E-21,1.05778E-20,1.11782E-20,,,11800000,0.00016,0.707188201,-2.111850363
7.93493E-21,7.58295E-21,7.80314E-21,7.23132E-21,6.30815E-21,6.4062E-21,5.52885E-21,1.3854E-20,9.60118E-21,1.41507E-20,1.79686E-20,,,20200000,0.00026,0.730535137,-1.900996997
4.01577E-21,4.0077E-21,4.10676E-21,4.05242E-21,3.80128E-21,3.82054E-21,3.69215E-21,1.25106E-20,6.62272E-21,8.80038E-21,1.09065E-20,,,34800000,0.00045,0.754157924,-1.662757832
1.98328E-21,2.04605E-21,2.09477E-21,2.15966E-21,2.13069E-21,2.12073E-21,2.22541E-21,8.54629E-21,3.60949E-21,3.70403E-21,3.73941E-21,,,59800000,0.00076,0.777670118,-1.435156753
9.56898E-22,1.02306E-21,1.04784E-21,1.13909E-21,1.18658E-21,1.17682E-21,1.35519E-21,5.87643E-21,2.63315E-21,2.76242E-21,2.85107E-21,,,103000000,0.00129,0.801283722,-1.205380635
4.27083E-22,4.7668E-22,4.98283E-22,5.75257E-22,6.29982E-22,6.21679E-22,7.7504E-22,3.91025E-21,1.91299E-21,2.13263E-21,2.30996E-21,,,177000000,0.00218,0.824797327,-0.977513852
1.64817E-22,1.92306E-22,2.12515E-22,2.65017E-22,3.10537E-22,3.0612E-22,4.29655E-22,2.7292E-21,1.33433E-21,1.49374E-21,1.61474E-21,,,304000000,0.00368,0.848287358,-0.750122527
3.81082E-23,5.27314E-23,7.22953E-23,1.05727E-22,1.40724E-22,1.40047E-22,2.35824E-22,1.85652E-21,1.02441E-21,1.26757E-21,1.44066E-21,,,522000000,0.00619,0.87176705,-0.524279696
2.98354E-24,4.93286E-24,1.39931E-23,3.74407E-23,5.54792E-23,5.83404E-23,1.29101E-22,1.1445E-21,7.91782E-22,1.02176E-21,1.18736E-21,,,897000000,0.01035,0.895279244,-0.301029996
2.18638E-25,3.51562E-25,1.40097E-24,1.1125E-23,2.14766E-23,2.39496E-23,7.37778E-23,7.20319E-22,6.41617E-22,9.2881E-22,1.16191E-21,,,1540000000,0.01712,0.918752072,-0.082466585
1.98692E-26,2.99913E-26,1.13007E-25,2.9509E-24,7.63824E-24,9.05651E-24,3.42254E-23,3.4939E-22,3.79495E-22,5.27437E-22,6.52246E-22,,,2650000000,0.00016,0.942324587,-2.111850363
6.30378E-27,8.53644E-27,2.37296E-26,9.69143E-25,3.15015E-24,3.82054E-24,1.80898E-23,2.14957E-22,2.62432E-22,3.72876E-22,4.62177E-22,,,4560000000,0.00026,0.965896484,-1.900996997
4.92008E-28,7.79149E-28,3.14205E-27,2.73378E-25,1.27437E-24,1.64661E-24,9.67147E-24,1.26951E-22,1.65893E-22,2.35217E-22,2.85617E-22,,,7840000000,0.00045,0.989431606,-1.662757832
6.28093E-29,9.91173E-29,4.01047E-28,5.91561E-26,4.96377E-25,7.0144E-25,6.55978E-24,2.94051E-22,8.49982E-22,1.46669E-21,1.98327E-21,,,13500000000,0.00076,1.013033377,-1.435156753
7.58111E-20,6.89754E-20,7.31828E-20,7.02758E-20,5.60112E-20,5.81217E-20,4.58041E-20,8.09942E-20,1.93171E-20,1.24688E-20,8.02412E-21,,,3980000,0.00129,0.659988307,-1.205380635
3.27395E-20,2.98682E-20,3.07543E-20,2.79722E-20,2.28622E-20,2.38353E-20,1.88937E-20,3.53901E-20,3.16752E-20,5.94447E-20,7.91852E-20,,,6840000,0.00218,0.68350561,-0.977513852
1.54386E-20,1.4631E-20,1.50551E-20,1.42036E-20,1.25854E-20,1.28634E-20,1.13438E-20,2.96032E-20,1.30892E-20,1.59585E-20,1.84679E-20,,,11800000,0.00368,0.707188201,-0.750122527
7.1185E-21,6.88101E-21,7.18102E-21,6.90146E-21,6.16727E-21,6.24422E-21,5.57799E-21,1.47266E-20,8.95588E-21,1.30575E-20,1.61465E-20,,,20200000,0.00619,0.730535137,-0.524279696
3.57553E-21,3.61314E-21,3.75185E-21,3.78902E-21,3.61423E-21,3.62149E-21,3.58147E-21,1.23946E-20,6.17711E-21,8.4385E-21,1.02224E-20,,,34800000,0.01035,0.754157924,-0.301029996
1.75823E-21,1.84545E-21,1.89581E-21,1.99679E-21,2.00382E-21,1.99368E-21,2.15143E-21,8.31106E-21,3.65655E-21,3.78503E-21,3.78926E-21,,,59800000,0.01712,0.777670118,-0.082466585
8.22571E-22,8.96595E-22,9.27106E-22,1.03794E-21,1.09726E-21,1.08129E-21,1.25262E-21,5.33191E-21,2.5233E-21,2.81902E-21,3.05499E-21,,,103000000,0.00016,0.801283722,-2.111850363
3.44159E-22,3.92784E-22,4.1785E-22,5.0277E-22,5.61534E-22,5.53423E-22,7.11663E-22,3.75439E-21,1.76461E-21,2.02274E-21,2.22255E-21,,,177000000,0.00026,0.824797327,-1.900996997
1.10643E-22,1.38447E-22,1.65423E-22,2.17038E-22,2.61043E-22,2.59387E-22,3.83156E-22,2.63428E-21,1.24777E-21,1.43599E-21,1.56297E-21,,,304000000,0.00045,0.848287358,-1.662757832
1.58701E-23,2.5067E-23,4.50546E-23,7.9461E-23,1.09413E-22,1.11191E-22,2.05903E-22,1.73209E-21,9.51397E-22,1.20746E-21,1.36717E-21,,,522000000,0.00076,0.87176705,-1.435156753
9.24046E-25,1.50402E-24,5.52697E-24,2.47396E-23,4.06913E-23,4.28352E-23,1.0994E-22,1.00429E-21,7.07294E-22,9.38486E-22,1.08037E-21,,,897000000,0.00129,0.895279244,-1.205380635
5.9992E-26,9.3733E-26,3.69639E-25,6.11311E-24,1.38248E-23,1.64118E-23,5.87507E-23,6.06414E-22,5.81935E-22,8.22958E-22,1.00581E-21,,,1540000000,0.00218,0.918752072,-0.977513852
5.07642E-27,7.4457E-27,2.39855E-26,1.43509E-24,4.69832E-24,5.84319E-24,2.63721E-23,2.9759E-22,3.48496E-22,5.07412E-22,6.32365E-22,,,2650000000,0.00368,0.942324587,-0.750122527
2.15426E-27,2.92288E-27,6.42574E-27,4.1781E-25,1.79411E-24,2.30534E-24,1.30318E-23,1.7633E-22,2.3012E-22,3.46402E-22,4.35446E-22,,,4560000000,0.00619,0.965896484,-0.524279696
1.03915E-28,1.67295E-28,6.78568E-28,9.93005E-26,7.04783E-25,9.45372E-25,6.57183E-24,1.02596E-22,1.46958E-22,2.20549E-22,2.75205E-22,,,7840000000,0.01035,0.989431606,-0.301029996
7.29356E-29,8.65725E-29,1.82052E-28,1.84439E-26,2.54769E-25,3.42644E-25,3.4812E-24,6.71253E-23,1.797E-22,8.52967E-22,1.40474E-21,,,13500000000,0.01712,1.013033377,-0.082466585
