#,Source_ID,redshift,distance,F148W_AB,F148W_err,F169M_AB,F169M_err,F172M_AB,F172M_err,N219M_AB,N219M_err,N279N_AB,N279N_err,IRAC1,IRAC1_err,IRAC2,IRAC2_err,u_prime,u_prime_err,g_prime,g_prime_err,r_prime,r_prime_err,i_prime,i_prime_err,z_prime,z_prime_err
,q3ann08,0,0.785,0.400422328,0.003973911,0.484266571,0.006181775,0.67871235,0.01383078,1.001493439,0.021028599,3.15967117,0.041294205,598.6380669,59.86380669,352.0411802,35.20411802,28.64112938,0.046878047,153.2968622,0.0434895,336.9524029,0.075752388,525.4562072,0.11105285,695.6192823,0.299403045
,q3ann09,0,0.785,0.367372282,0.003668589,0.442685962,0.00577682,0.63337828,0.012991159,0.893160149,0.019014095,2.958392798,0.039320126,561.9498828,56.19498828,330.1988958,33.01988958,26.02875778,0.045880548,138.7862679,0.041380052,307.3546477,0.072348901,478.8786833,0.10601668,635.1235181,0.28608791
,q3ann10,0,0.785,0.352293126,0.003529233,0.427787328,0.005630974,0.617537508,0.012697635,0.896847649,0.019082731,2.794289442,0.037701616,525.6875531,52.56875531,310.1604134,31.01604134,24.36440106,0.045925411,129.9755592,0.040045031,288.3995496,0.07008246,451.1580316,0.102902469,596.4886977,0.277249976
,q4ann01,0,0.785,1.778177736,0.016671943,2.040880421,0.020749553,2.44812402,0.046474071,3.485950821,0.066917531,11.86778855,0.123173437,-999,-999,1829.741187,182.9741187,117.7190606,0.069892651,695.2080352,0.092613687,1550.619785,0.162504244,2434.413354,0.23903341,3279.206716,0.650062037
,q4ann02,0,0.785,1.082605255,0.010263833,1.244591179,0.013359914,1.549072065,0.029901264,2.288249721,0.044827051,7.774230817,0.085081472,-999,-999,915.052145,91.5052145,74.12990415,0.060066482,420.251359,0.072006607,925.6424787,0.125554905,1438.101921,0.183719934,1910.389722,0.496171019
,q4ann03,0,0.785,0.827313324,0.007911231,0.966196039,0.010758463,1.22492149,0.023922026,1.828267142,0.036334056,6.196371578,0.070287058,-999,-999,690.5292817,69.05292817,58.27581075,0.056046038,326.3424212,0.063453349,717.3892696,0.110532371,1118.415282,0.162017898,1488.935449,0.438034525
,q4ann04,0,0.785,0.693381624,0.006676645,0.814839803,0.009335455,1.048359968,0.020663211,1.572972126,0.031615772,5.31864767,0.062003717,-999,-999,580.6272933,58.06272933,49.280237,0.054447316,277.0567885,0.058465838,610.2886763,0.101948233,952.4318515,0.149512809,1268.068872,0.404242367
,q4ann05,0,0.785,0.579718768,0.005628544,0.693722325,0.008189571,0.884318449,0.017633349,1.340931751,0.027322614,4.512134946,0.054339546,-999,-999,473.618217,47.3618217,41.53476572,0.05118774,230.6932176,0.053350095,509.135189,0.09311692,796.3439848,0.136713625,1057.389755,0.369137321
,q4ann06,0,0.785,0.556996438,0.005418961,0.664479021,0.007911601,0.867759961,0.017327355,1.298642495,0.026539533,4.322547043,0.052528081,-999,-999,430.9569712,43.09569712,38.89961105,0.05175695,214.7091017,0.051468678,474.9842179,0.089939742,740.8218191,0.131861596,984.4912939,0.356185591
,q4ann07,0,0.785,0.475268901,0.004664911,0.568112194,0.006990818,0.774229464,0.015598233,1.114604669,0.023128448,3.708071636,0.046622691,-999,-999,369.7871064,36.97871064,33.28620487,0.049196194,184.8713447,0.047758709,409.3416564,0.083493952,641.8417032,0.122736974,853.7358613,0.33168984
