,Source_ID,Chi^2_best,log(Z)_best,log(age)/10_best,M_best,E(B-V)_best
Source at row 2,q1ann01,300899321.77077585,-0.5,0.72,2079529.1153470105,0.2
Source at row 3,q1ann02,167967850.91482142,-0.5,0.72,636104.0318432898,0.2
