F148W,F169M,F172M,N219M,N279N,uprime,gprime,rprime,iprime,zprime,IRAC1,IRAC2,ageconv,Zconv
3.12762E-26,4.92604E-26,1.9267E-25,2.2856E-24,6.63627E-24,2.64907E-23,7.67902E-23,1.29299E-22,1.57593E-22,1.73695E-22,6.11462E-23,3.87386E-23,1.013033377,-1.662757832
7.39807E-20,7.17791E-20,6.97408E-20,5.92629E-20,4.85283E-20,5.05538E-20,7.39493E-20,6.89139E-20,6.60004E-20,6.34434E-20,1.19183E-20,7.7867E-21,0.659988307,-1.435156753
4.27564E-20,4.06189E-20,3.96511E-20,3.31563E-20,2.60536E-20,2.08038E-20,1.70707E-20,1.15451E-20,8.66089E-21,6.82753E-21,7.08876E-22,4.51534E-22,0.68350561,-1.435156753
2.18418E-20,2.03992E-20,2.0074E-20,1.68378E-20,1.34726E-20,1.12255E-20,9.88515E-21,6.75023E-21,5.1442E-21,4.13593E-21,5.19428E-22,3.20819E-22,0.707188201,-1.435156753
1.05398E-20,1.01751E-20,1.00368E-20,8.8391E-21,7.46389E-21,6.87551E-21,7.68052E-21,6.64647E-21,6.06475E-21,5.89916E-21,1.53364E-21,9.49846E-22,0.730535137,-1.435156753
5.67269E-21,5.5114E-21,5.36449E-21,4.90063E-21,4.3455E-21,4.32095E-21,5.89884E-21,5.8277E-21,5.84593E-21,6.01441E-21,2.09491E-21,1.31614E-21,0.754157924,-1.435156753
2.89094E-21,2.89225E-21,2.84922E-21,2.71359E-21,2.51383E-21,2.70971E-21,4.13054E-21,3.61116E-21,3.25624E-21,3.04497E-21,6.80952E-22,4.27911E-22,0.777670118,-1.435156753
1.47982E-21,1.49751E-21,1.49155E-21,1.47742E-21,1.45113E-21,1.71726E-21,2.96338E-21,2.69956E-21,2.52143E-21,2.50636E-21,7.06528E-22,4.85843E-22,0.801283722,-1.435156753
7.22855E-22,7.50489E-22,7.60823E-22,7.93465E-22,8.19631E-22,1.0865E-21,2.1304E-21,2.09834E-21,2.0177E-21,1.9985E-21,5.82303E-22,3.70017E-22,0.824797327,-1.435156753
3.46248E-22,3.67962E-22,3.80806E-22,4.26019E-22,4.73343E-22,6.94812E-22,1.47774E-21,1.49523E-21,1.46342E-21,1.45318E-21,4.26344E-22,2.66064E-22,0.848287358,-1.435156753
1.48735E-22,1.63326E-22,1.74988E-22,2.17576E-22,2.66866E-22,4.45047E-22,1.05441E-21,1.09953E-21,1.10525E-21,1.11185E-21,3.18243E-22,1.99005E-22,0.87176705,-1.435156753
5.57713E-23,6.48528E-23,7.23817E-23,1.00251E-22,1.39025E-22,2.80109E-22,6.97361E-22,8.09052E-22,8.50164E-22,8.84535E-22,4.0187E-22,2.8051E-22,0.895279244,-1.435156753
1.45591E-23,1.9593E-23,2.65742E-23,4.32883E-23,6.75492E-23,1.68784E-22,4.81533E-22,6.55344E-22,7.46886E-22,8.14649E-22,4.2598E-22,3.0839E-22,0.918752072,-1.435156753
1.40899E-24,2.28819E-24,6.40211E-24,1.82315E-23,3.39719E-23,9.91477E-23,2.87852E-22,4.2327E-22,4.90287E-22,5.30058E-22,1.79259E-22,1.12631E-22,0.942324587,-1.435156753
6.212E-25,7.49452E-25,1.82124E-24,8.67496E-24,1.87471E-23,6.60422E-23,2.55665E-22,5.48021E-22,7.43709E-22,8.9093E-22,4.29289E-22,2.62291E-22,0.965896484,-1.435156753
4.49385E-26,7.18575E-26,3.07755E-25,3.57851E-24,1.03938E-23,8.69971E-23,6.15589E-22,1.55552E-21,2.09824E-21,2.49668E-21,1.07803E-21,6.60156E-22,0.989431606,-1.435156753
1.0103E-26,1.58757E-26,7.02367E-26,1.7882E-24,7.72423E-24,1.20436E-22,7.43839E-22,1.70917E-21,2.3111E-21,2.72956E-21,1.12661E-21,7.02692E-22,1.013033377,-1.435156753
6.96062E-20,6.57984E-20,6.40969E-20,5.38536E-20,4.36627E-20,5.07832E-20,9.25141E-20,9.12991E-20,8.62326E-20,8.73105E-20,1.61622E-20,1.05099E-20,0.659988307,-1.205380635
4.29304E-20,4.07427E-20,4.05713E-20,3.47817E-20,2.79162E-20,2.30382E-20,1.99943E-20,1.38688E-20,1.04335E-20,8.36192E-21,9.26305E-22,5.89435E-22,0.68350561,-1.205380635
2.16462E-20,2.03325E-20,2.02594E-20,1.75386E-20,1.44115E-20,1.27323E-20,1.25353E-20,8.91227E-21,6.93702E-21,5.78304E-21,7.85513E-22,4.94288E-22,0.707188201,-1.205380635
1.04244E-20,9.94203E-21,9.78882E-21,8.76855E-21,7.54E-21,7.03512E-21,8.2799E-21,7.38727E-21,7.24558E-21,7.26011E-21,2.29277E-21,1.36784E-21,0.730535137,-1.205380635
5.407E-21,5.26665E-21,5.18999E-21,4.73302E-21,4.28692E-21,4.36399E-21,6.42509E-21,6.62713E-21,6.77866E-21,7.14019E-21,2.6515E-21,1.57033E-21,0.754157924,-1.205380635
2.70361E-21,2.68847E-21,2.6676E-21,2.54789E-21,2.39062E-21,2.67803E-21,4.34083E-21,4.02879E-21,3.73571E-21,3.63414E-21,9.07737E-22,5.60916E-22,0.777670118,-1.205380635
1.35467E-21,1.37696E-21,1.37996E-21,1.37465E-21,1.35189E-21,1.64913E-21,3.00724E-21,2.83858E-21,2.76432E-21,2.79131E-21,8.49585E-22,5.6995E-22,0.801283722,-1.205380635
6.73997E-22,6.99258E-22,7.09084E-22,7.49817E-22,7.83109E-22,1.0414E-21,2.06232E-21,2.08065E-21,2.07859E-21,2.09837E-21,6.59857E-22,4.09317E-22,0.824797327,-1.205380635
3.19569E-22,3.41236E-22,3.54846E-22,4.03358E-22,4.52604E-22,6.72657E-22,1.45428E-21,1.49545E-21,1.47369E-21,1.49079E-21,4.61594E-22,2.89386E-22,0.848287358,-1.205380635
1.34631E-22,1.4968E-22,1.59278E-22,1.98352E-22,2.46718E-22,4.35362E-22,1.0206E-21,1.10235E-21,1.12287E-21,1.1388E-21,4.38939E-22,3.21341E-22,0.87176705,-1.205380635
4.70617E-23,5.68736E-23,6.45962E-23,8.90769E-23,1.22419E-22,2.60607E-22,6.69667E-22,7.96891E-22,8.50778E-22,9.00972E-22,4.2406E-22,3.00229E-22,0.895279244,-1.205380635
